nTemplateId	nStarLevel	szIteration	nRecycleMaterialId	nRecycleMaterialNum	nRandAttrGroupId	nFixedAttr1Id	nFixedAttr1MinValue1	nFixedAttr1MaxValue1	nFixedAttr1MinValue2	nFixedAttr1MaxValue2	nFixedAttr1MinValue3	nFixedAttr1MaxValue3	nFixedAttr2Id	nFixedAttr2MinValue1	nFixedAttr2MaxValue1	nFixedAttr2MinValue2	nFixedAttr2MaxValue2	nFixedAttr2MinValue3	nFixedAttr2MaxValue3	nFixedAttr3Id	nFixedAttr3MinValue1	nFixedAttr3MaxValue1	nFixedAttr3MinValue2	nFixedAttr3MaxValue2	nFixedAttr3MinValue3	nFixedAttr3MaxValue3	nFixedAttr4Id	nFixedAttr4MinValue1	nFixedAttr4MaxValue1	nFixedAttr4MinValue2	nFixedAttr4MaxValue2	nFixedAttr4MinValue3	nFixedAttr4MaxValue3
81001	1	T1	80000	2	0	1	25	30	0	0	25	30	18	497	594	0	0	0	0	14	100	100	25	30	0	0	25	50	60	0	0	0	0
81002	2	T1	80000	4	0	1	42	50	0	0	42	50	18	828	990	0	0	0	0	14	100	100	42	50	0	0	25	83	99	0	0	0	0
81003	3	T1	80000	6	0	1	58	70	0	0	58	70	18	1160	1386	0	0	0	0	14	100	100	58	70	0	0	25	116	139	0	0	0	0
81004	4	T1	80000	15	1	1	75	90	0	0	75	90	18	1491	1782	0	0	0	0	14	100	100	75	90	0	0	25	150	179	0	0	0	0
81005	5	T1	80000	50	2	1	92	109	0	0	92	109	18	1822	2178	0	0	0	0	14	100	100	92	109	0	0	25	183	218	0	0	0	0
81006	6	T2	80000	2	0	1	58	70	0	0	58	70	18	1160	1386	0	0	0	0	14	100	100	58	70	0	0	25	116	139	0	0	0	0
81007	7	T2	80000	4	0	1	75	90	0	0	75	90	18	1491	1782	0	0	0	0	14	100	100	75	90	0	0	25	150	179	0	0	0	0
81008	8	T2	80000	6	0	1	92	109	0	0	92	109	18	1822	2178	0	0	0	0	14	100	100	92	109	0	0	25	183	218	0	0	0	0
81009	9	T2	80000	15	2	1	105	126	0	0	105	126	18	2095	2505	0	0	0	0	14	100	100	105	126	0	0	25	210	251	0	0	0	0
81010	10	T2	80000	50	3	1	119	142	0	0	119	142	18	2369	2832	0	0	0	0	14	100	100	119	142	0	0	25	237	284	0	0	0	0
81011	11	T3	80000	2	0	1	92	109	0	0	92	109	18	1822	2178	0	0	0	0	14	100	100	92	109	0	0	25	183	218	0	0	0	0
81012	12	T3	80000	4	0	1	105	126	0	0	105	126	18	2095	2505	0	0	0	0	14	100	100	105	126	0	0	25	210	251	0	0	0	0
81013	13	T3	80000	6	0	1	119	142	0	0	119	142	18	2369	2832	0	0	0	0	14	100	100	119	142	0	0	25	237	284	0	0	0	0
81014	14	T3	80000	15	3	1	133	159	0	0	133	159	18	2645	3162	0	0	0	0	14	100	100	133	159	0	0	25	265	317	0	0	0	0
81015	15	T3	80000	50	4	1	147	175	0	0	147	175	18	2921	3492	0	0	0	0	14	100	100	147	175	0	0	25	293	350	0	0	0	0
81016	16	T4	80000	2	0	1	119	142	0	0	119	142	18	2369	2832	0	0	0	0	14	100	100	119	142	0	0	25	237	284	0	0	0	0
81017	17	T4	80000	4	0	1	133	159	0	0	133	159	18	2645	3162	0	0	0	0	14	100	100	133	159	0	0	25	265	317	0	0	0	0
81018	18	T4	80000	6	0	1	147	175	0	0	147	175	18	2921	3492	0	0	0	0	14	100	100	147	175	0	0	25	293	350	0	0	0	0
81019	19	T4	80000	15	4	1	160	192	0	0	160	192	18	3197	3822	0	0	0	0	14	100	100	160	192	0	0	25	320	383	0	0	0	0
81020	20	T4	80000	50	5	1	174	208	0	0	174	208	18	3473	4152	0	0	0	0	14	100	100	174	208	0	0	25	348	416	0	0	0	0
82001	1	T1	80000	2	0	17	25	30	0	0	0	0	21	25	30	0	0	0	0	24	50	60	0	0	0	0	19	497	594	0	0	0	0
82002	2	T1	80000	4	0	17	42	50	0	0	0	0	21	42	50	0	0	0	0	24	83	99	0	0	0	0	19	828	990	0	0	0	0
82003	3	T1	80000	6	0	17	58	70	0	0	0	0	21	58	70	0	0	0	0	24	116	139	0	0	0	0	19	1160	1386	0	0	0	0
82004	4	T1	80000	15	1	17	75	90	0	0	0	0	21	75	90	0	0	0	0	24	150	179	0	0	0	0	19	1491	1782	0	0	0	0
82005	5	T1	80000	50	2	17	92	109	0	0	0	0	21	92	109	0	0	0	0	24	183	218	0	0	0	0	19	1822	2178	0	0	0	0
82006	6	T2	80000	2	0	17	58	70	0	0	0	0	21	58	70	0	0	0	0	24	116	139	0	0	0	0	19	1160	1386	0	0	0	0
82007	7	T2	80000	4	0	17	75	90	0	0	0	0	21	75	90	0	0	0	0	24	150	179	0	0	0	0	19	1491	1782	0	0	0	0
82008	8	T2	80000	6	0	17	92	109	0	0	0	0	21	92	109	0	0	0	0	24	183	218	0	0	0	0	19	1822	2178	0	0	0	0
82009	9	T2	80000	15	2	17	105	126	0	0	0	0	21	105	126	0	0	0	0	24	210	251	0	0	0	0	19	2095	2505	0	0	0	0
82010	10	T2	80000	50	3	17	119	142	0	0	0	0	21	119	142	0	0	0	0	24	237	284	0	0	0	0	19	2369	2832	0	0	0	0
82011	11	T3	80000	2	0	17	92	109	0	0	0	0	21	92	109	0	0	0	0	24	183	218	0	0	0	0	19	1822	2178	0	0	0	0
82012	12	T3	80000	4	0	17	105	126	0	0	0	0	21	105	126	0	0	0	0	24	210	251	0	0	0	0	19	2095	2505	0	0	0	0
82013	13	T3	80000	6	0	17	119	142	0	0	0	0	21	119	142	0	0	0	0	24	237	284	0	0	0	0	19	2369	2832	0	0	0	0
82014	14	T3	80000	15	3	17	133	159	0	0	0	0	21	133	159	0	0	0	0	24	265	317	0	0	0	0	19	2645	3162	0	0	0	0
82015	15	T3	80000	50	4	17	147	175	0	0	0	0	21	147	175	0	0	0	0	24	293	350	0	0	0	0	19	2921	3492	0	0	0	0
82016	16	T4	80000	2	0	17	119	142	0	0	0	0	21	119	142	0	0	0	0	24	237	284	0	0	0	0	19	2369	2832	0	0	0	0
82017	17	T4	80000	4	0	17	133	159	0	0	0	0	21	133	159	0	0	0	0	24	265	317	0	0	0	0	19	2645	3162	0	0	0	0
82018	18	T4	80000	6	0	17	147	175	0	0	0	0	21	147	175	0	0	0	0	24	293	350	0	0	0	0	19	2921	3492	0	0	0	0
82019	19	T4	80000	15	4	17	160	192	0	0	0	0	21	160	192	0	0	0	0	24	320	383	0	0	0	0	19	3197	3822	0	0	0	0
82020	20	T4	80000	50	5	17	174	208	0	0	0	0	21	174	208	0	0	0	0	24	348	416	0	0	0	0	19	3473	4152	0	0	0	0
