nGroupId	nAttrId	nWeight	nAttrValueMin1	nAttrValueMax1	nAttrValueMin2	nAttrValueMax2	nAttrValueMin3	nAttrValueMax3
1	1	20000	45	54	0	0	45	54
1	2	20000	45	54	0	0	0	0
1	3	20000	45	54	0	0	0	0
1	4	20000	45	54	0	0	0	0
1	5	20000	45	54	0	0	0	0
1	6	20000	45	54	9	9	0	0
1	7	30000	45	54	9	9	0	0
1	8	20000	45	54	0	0	0	0
1	9	30000	224	268	0	0	0	0
1	10	30000	224	268	0	0	0	0
1	11	30000	224	268	0	0	0	0
1	12	30000	224	268	0	0	0	0
1	13	30000	224	268	0	0	0	0
1	14	20000	100	100	45	54	0	0
1	15	30000	45	54	0	0	0	0
1	16	20000	45	54	0	0	0	0
1	17	20000	45	54	0	0	0	0
1	18	30000	895	1070	0	0	0	0
1	19	30000	895	1070	0	0	0	0
1	20	20000	45	54	0	0	0	0
1	21	20000	45	54	0	0	0	0
1	22	20000	45	54	0	0	0	0
1	23	20000	45	54	0	0	0	0
1	24	30000	90	107	0	0	0	0
1	25	30000	90	107	0	0	0	0
1	26	30000	179	214	0	0	0	0
1	27	30000	179	214	0	0	0	0
1	28	30000	179	214	0	0	0	0
1	29	30000	179	214	0	0	0	0
1	30	30000	100	100	45	54	0	0
1	31	30000	100	100	45	54	0	0
1	32	30000	100	100	45	54	0	0
1	33	30000	100	100	45	54	0	0
1	34	30000	100	100	45	54	0	0
1	35	30000	45	54	0	0	0	0
1	36	30000	45	54	0	0	0	0
1	37	30000	90	107	0	0	0	0
1	38	30000	90	107	0	0	0	0
2	1	20000	63	75	0	0	63	75
2	2	20000	63	75	0	0	0	0
2	3	20000	63	75	0	0	0	0
2	4	20000	63	75	0	0	0	0
2	5	20000	63	75	0	0	0	0
2	6	20000	63	75	9	9	0	0
2	7	30000	63	75	9	9	0	0
2	8	20000	63	75	0	0	0	0
2	9	30000	311	372	0	0	0	0
2	10	30000	311	372	0	0	0	0
2	11	30000	311	372	0	0	0	0
2	12	30000	311	372	0	0	0	0
2	13	30000	311	372	0	0	0	0
2	14	20000	100	100	63	75	0	0
2	15	30000	63	75	0	0	0	0
2	16	20000	63	75	0	0	0	0
2	17	20000	63	75	0	0	0	0
2	18	30000	1242	1485	0	0	0	0
2	19	30000	1242	1485	0	0	0	0
2	20	20000	63	75	0	0	0	0
2	21	20000	63	75	0	0	0	0
2	22	20000	63	75	0	0	0	0
2	23	20000	63	75	0	0	0	0
2	24	30000	125	149	0	0	0	0
2	25	30000	125	149	0	0	0	0
2	26	30000	249	297	0	0	0	0
2	27	30000	249	297	0	0	0	0
2	28	30000	249	297	0	0	0	0
2	29	30000	249	297	0	0	0	0
2	30	30000	100	100	63	75	0	0
2	31	30000	100	100	63	75	0	0
2	32	30000	100	100	63	75	0	0
2	33	30000	100	100	63	75	0	0
2	34	30000	100	100	63	75	0	0
2	35	30000	63	75	0	0	0	0
2	36	30000	63	75	0	0	0	0
2	37	30000	125	149	0	0	0	0
2	38	30000	125	149	0	0	0	0
3	1	20000	75	90	0	0	75	90
3	2	20000	75	90	0	0	0	0
3	3	20000	75	90	0	0	0	0
3	4	20000	75	90	0	0	0	0
3	5	20000	75	90	0	0	0	0
3	6	20000	75	90	9	9	0	0
3	7	30000	75	90	9	9	0	0
3	8	20000	75	90	0	0	0	0
3	9	30000	373	446	0	0	0	0
3	10	30000	373	446	0	0	0	0
3	11	30000	373	446	0	0	0	0
3	12	30000	373	446	0	0	0	0
3	13	30000	373	446	0	0	0	0
3	14	20000	100	100	75	90	0	0
3	15	30000	75	90	0	0	0	0
3	16	20000	75	90	0	0	0	0
3	17	20000	75	90	0	0	0	0
3	18	30000	1491	1782	0	0	0	0
3	19	30000	1491	1782	0	0	0	0
3	20	20000	75	90	0	0	0	0
3	21	20000	75	90	0	0	0	0
3	22	20000	75	90	0	0	0	0
3	23	20000	75	90	0	0	0	0
3	24	30000	150	179	0	0	0	0
3	25	30000	150	179	0	0	0	0
3	26	30000	299	357	0	0	0	0
3	27	30000	299	357	0	0	0	0
3	28	30000	299	357	0	0	0	0
3	29	30000	299	357	0	0	0	0
3	30	30000	100	100	75	90	0	0
3	31	30000	100	100	75	90	0	0
3	32	30000	100	100	75	90	0	0
3	33	30000	100	100	75	90	0	0
3	34	30000	100	100	75	90	0	0
3	35	30000	75	90	0	0	0	0
3	36	30000	75	90	0	0	0	0
3	37	30000	150	179	0	0	0	0
3	38	30000	150	179	0	0	0	0
4	1	20000	90	107	0	0	90	107
4	2	20000	90	107	0	0	0	0
4	3	20000	90	107	0	0	0	0
4	4	20000	90	107	0	0	0	0
4	5	20000	90	107	0	0	0	0
4	6	20000	90	107	9	9	0	0
4	7	30000	90	107	9	9	0	0
4	8	20000	90	107	0	0	0	0
4	9	30000	448	535	0	0	0	0
4	10	30000	448	535	0	0	0	0
4	11	30000	448	535	0	0	0	0
4	12	30000	448	535	0	0	0	0
4	13	30000	448	535	0	0	0	0
4	14	20000	100	100	90	107	0	0
4	15	30000	90	107	0	0	0	0
4	16	20000	90	107	0	0	0	0
4	17	20000	90	107	0	0	0	0
4	18	30000	1789	2139	0	0	0	0
4	19	30000	1789	2139	0	0	0	0
4	20	20000	90	107	0	0	0	0
4	21	20000	90	107	0	0	0	0
4	22	20000	90	107	0	0	0	0
4	23	20000	90	107	0	0	0	0
4	24	30000	179	214	0	0	0	0
4	25	30000	179	214	0	0	0	0
4	26	30000	358	428	0	0	0	0
4	27	30000	358	428	0	0	0	0
4	28	30000	358	428	0	0	0	0
4	29	30000	358	428	0	0	0	0
4	30	30000	100	100	90	107	0	0
4	31	30000	100	100	90	107	0	0
4	32	30000	100	100	90	107	0	0
4	33	30000	100	100	90	107	0	0
4	34	30000	100	100	90	107	0	0
4	35	30000	90	107	0	0	0	0
4	36	30000	90	107	0	0	0	0
4	37	30000	179	214	0	0	0	0
4	38	30000	179	214	0	0	0	0
5	1	20000	108	129	0	0	108	129
5	2	20000	108	129	0	0	0	0
5	3	20000	108	129	0	0	0	0
5	4	20000	108	129	0	0	0	0
5	5	20000	108	129	0	0	0	0
5	6	20000	108	129	9	9	0	0
5	7	30000	108	129	9	9	0	0
5	8	20000	108	129	0	0	0	0
5	9	30000	537	642	0	0	0	0
5	10	30000	537	642	0	0	0	0
5	11	30000	537	642	0	0	0	0
5	12	30000	537	642	0	0	0	0
5	13	30000	537	642	0	0	0	0
5	14	20000	100	100	108	129	0	0
5	15	30000	108	129	0	0	0	0
5	16	20000	108	129	0	0	0	0
5	17	20000	108	129	0	0	0	0
5	18	30000	2147	2567	0	0	0	0
5	19	30000	2147	2567	0	0	0	0
5	20	20000	108	129	0	0	0	0
5	21	20000	108	129	0	0	0	0
5	22	20000	108	129	0	0	0	0
5	23	20000	108	129	0	0	0	0
5	24	30000	215	257	0	0	0	0
5	25	30000	215	257	0	0	0	0
5	26	30000	430	514	0	0	0	0
5	27	30000	430	514	0	0	0	0
5	28	30000	430	514	0	0	0	0
5	29	30000	430	514	0	0	0	0
5	30	30000	100	100	108	129	0	0
5	31	30000	100	100	108	129	0	0
5	32	30000	100	100	108	129	0	0
5	33	30000	100	100	108	129	0	0
5	34	30000	100	100	108	129	0	0
5	35	30000	108	129	0	0	0	0
5	36	30000	108	129	0	0	0	0
5	37	30000	215	257	0	0	0	0
5	38	30000	215	257	0	0	0	0
6	1	20000	129	154	0	0	129	154
6	2	20000	129	154	0	0	0	0
6	3	20000	129	154	0	0	0	0
6	4	20000	129	154	0	0	0	0
6	5	20000	129	154	0	0	0	0
6	6	20000	129	154	9	9	0	0
6	7	30000	129	154	9	9	0	0
6	8	20000	129	154	0	0	0	0
6	9	30000	644	770	0	0	0	0
6	10	30000	644	770	0	0	0	0
6	11	30000	644	770	0	0	0	0
6	12	30000	644	770	0	0	0	0
6	13	30000	644	770	0	0	0	0
6	14	20000	100	100	129	154	0	0
6	15	30000	129	154	0	0	0	0
6	16	20000	129	154	0	0	0	0
6	17	20000	129	154	0	0	0	0
6	18	30000	2576	3080	0	0	0	0
6	19	30000	2576	3080	0	0	0	0
6	20	20000	129	154	0	0	0	0
6	21	20000	129	154	0	0	0	0
6	22	20000	129	154	0	0	0	0
6	23	20000	129	154	0	0	0	0
6	24	30000	258	308	0	0	0	0
6	25	30000	258	308	0	0	0	0
6	26	30000	516	616	0	0	0	0
6	27	30000	516	616	0	0	0	0
6	28	30000	516	616	0	0	0	0
6	29	30000	516	616	0	0	0	0
6	30	30000	100	100	129	154	0	0
6	31	30000	100	100	129	154	0	0
6	32	30000	100	100	129	154	0	0
6	33	30000	100	100	129	154	0	0
6	34	30000	100	100	129	154	0	0
6	35	30000	129	154	0	0	0	0
6	36	30000	129	154	0	0	0	0
6	37	30000	258	308	0	0	0	0
6	38	30000	258	308	0	0	0	0
7	1	20000	155	185	0	0	155	185
7	2	20000	155	185	0	0	0	0
7	3	20000	155	185	0	0	0	0
7	4	20000	155	185	0	0	0	0
7	5	20000	155	185	0	0	0	0
7	6	20000	155	185	9	9	0	0
7	7	30000	155	185	9	9	0	0
7	8	20000	155	185	0	0	0	0
7	9	30000	773	924	0	0	0	0
7	10	30000	773	924	0	0	0	0
7	11	30000	773	924	0	0	0	0
7	12	30000	773	924	0	0	0	0
7	13	30000	773	924	0	0	0	0
7	14	20000	100	100	155	185	0	0
7	15	30000	155	185	0	0	0	0
7	16	20000	155	185	0	0	0	0
7	17	20000	155	185	0	0	0	0
7	18	30000	3092	3696	0	0	0	0
7	19	30000	3092	3696	0	0	0	0
7	20	20000	155	185	0	0	0	0
7	21	20000	155	185	0	0	0	0
7	22	20000	155	185	0	0	0	0
7	23	20000	155	185	0	0	0	0
7	24	30000	310	370	0	0	0	0
7	25	30000	310	370	0	0	0	0
7	26	30000	619	740	0	0	0	0
7	27	30000	619	740	0	0	0	0
7	28	30000	619	740	0	0	0	0
7	29	30000	619	740	0	0	0	0
7	30	30000	100	100	155	185	0	0
7	31	30000	100	100	155	185	0	0
7	32	30000	100	100	155	185	0	0
7	33	30000	100	100	155	185	0	0
7	34	30000	100	100	155	185	0	0
7	35	30000	155	185	0	0	0	0
7	36	30000	155	185	0	0	0	0
7	37	30000	310	370	0	0	0	0
7	38	30000	310	370	0	0	0	0
8	1	20000	186	222	0	0	186	222
8	2	20000	186	222	0	0	0	0
8	3	20000	186	222	0	0	0	0
8	4	20000	186	222	0	0	0	0
8	5	20000	186	222	0	0	0	0
8	6	20000	186	222	9	9	0	0
8	7	30000	186	222	9	9	0	0
8	8	20000	186	222	0	0	0	0
8	9	30000	928	1109	0	0	0	0
8	10	30000	928	1109	0	0	0	0
8	11	30000	928	1109	0	0	0	0
8	12	30000	928	1109	0	0	0	0
8	13	30000	928	1109	0	0	0	0
8	14	20000	100	100	186	222	0	0
8	15	30000	186	222	0	0	0	0
8	16	20000	186	222	0	0	0	0
8	17	20000	186	222	0	0	0	0
8	18	30000	3710	4436	0	0	0	0
8	19	30000	3710	4436	0	0	0	0
8	20	20000	186	222	0	0	0	0
8	21	20000	186	222	0	0	0	0
8	22	20000	186	222	0	0	0	0
8	23	20000	186	222	0	0	0	0
8	24	30000	371	444	0	0	0	0
8	25	30000	371	444	0	0	0	0
8	26	30000	742	888	0	0	0	0
8	27	30000	742	888	0	0	0	0
8	28	30000	742	888	0	0	0	0
8	29	30000	742	888	0	0	0	0
8	30	30000	100	100	186	222	0	0
8	31	30000	100	100	186	222	0	0
8	32	30000	100	100	186	222	0	0
8	33	30000	100	100	186	222	0	0
8	34	30000	100	100	186	222	0	0
8	35	30000	186	222	0	0	0	0
8	36	30000	186	222	0	0	0	0
8	37	30000	371	444	0	0	0	0
8	38	30000	371	444	0	0	0	0
9	1	20000	223	267	0	0	223	267
9	2	20000	223	267	0	0	0	0
9	3	20000	223	267	0	0	0	0
9	4	20000	223	267	0	0	0	0
9	5	20000	223	267	0	0	0	0
9	6	20000	223	267	9	9	0	0
9	7	30000	223	267	9	9	0	0
9	8	20000	223	267	0	0	0	0
9	9	30000	1113	1331	0	0	0	0
9	10	30000	1113	1331	0	0	0	0
9	11	30000	1113	1331	0	0	0	0
9	12	30000	1113	1331	0	0	0	0
9	13	30000	1113	1331	0	0	0	0
9	14	20000	100	100	223	267	0	0
9	15	30000	223	267	0	0	0	0
9	16	20000	223	267	0	0	0	0
9	17	20000	223	267	0	0	0	0
9	18	30000	4451	5322	0	0	0	0
9	19	30000	4451	5322	0	0	0	0
9	20	20000	223	267	0	0	0	0
9	21	20000	223	267	0	0	0	0
9	22	20000	223	267	0	0	0	0
9	23	20000	223	267	0	0	0	0
9	24	30000	446	533	0	0	0	0
9	25	30000	446	533	0	0	0	0
9	26	30000	891	1065	0	0	0	0
9	27	30000	891	1065	0	0	0	0
9	28	30000	891	1065	0	0	0	0
9	29	30000	891	1065	0	0	0	0
9	30	30000	100	100	223	267	0	0
9	31	30000	100	100	223	267	0	0
9	32	30000	100	100	223	267	0	0
9	33	30000	100	100	223	267	0	0
9	34	30000	100	100	223	267	0	0
9	35	30000	223	267	0	0	0	0
9	36	30000	223	267	0	0	0	0
9	37	30000	446	533	0	0	0	0
9	38	30000	446	533	0	0	0	0
10	1	20000	268	320	0	0	268	320
10	2	20000	268	320	0	0	0	0
