nStarLevel	nQuality	nProbilityNum0	nFightPower0	nProbilityNum1	nFightPower1	nProbilityNum2	nFightPower2	nProbilityNum3	nFightPower3
1	2	100	2160	0	0	0	0	0	0
2	3	100	3600	0	0	0	0	0	0
3	4	100	5040	0	0	0	0	0	0
4	5	70	6480	20	7452	10	8424	0	0
5	6	40	7920	40	9270	20	10620	0	0
5	7	0	7920	40	9270	40	10620	20	11970
6	2	100	5040	0	0	0	0	0	0
7	3	100	6480	0	0	0	0	0	0
8	4	100	7920	0	0	0	0	0	0
9	5	70	9108	20	10458	10	11808	0	0
10	6	40	10296	40	11916	20	13536	0	0
10	7	0	10296	40	11916	40	13536	20	15156
11	2	100	7920	0	0	0	0	0	0
12	3	100	9108	0	0	0	0	0	0
13	4	100	10296	0	0	0	0	0	0
14	5	70	11496	20	13116	10	14736	0	0
15	6	40	12696	40	14640	20	16584	0	0
15	7	0	12696	40	14640	40	16584	20	18528
16	2	100	10296	0	0	0	0	0	0
17	3	100	11496	0	0	0	0	0	0
18	4	100	12696	0	0	0	0	0	0
19	5	70	13896	20	15840	10	17784	0	0
20	6	40	15096	40	17429	20	19762	0	0
20	7	0	15096	40	17429	40	19762	20	22095
