nId	szShopType	nItemId	nSeries	bBind	szPrevWareId	szOpenTimeStr	szEndTimeStr	nLimitRule	szLimitParam	nPrice	szCurrencyType	szItemType	szOpenTimeFrame	szEndTimeFrame	szTimeFrame1	szTimeFrame2	nMonthCardLimit	nOfficialLimit
1	Npc	3727	1	0				0		0	Coin						0	0
2	Npc	3728	1	0				0		0	Coin						0	0
3	Npc	3729	1	0				0		0	Coin						0	0
4	Npc	3730	1	0				0		0	Coin						0	0
5	Npc	3731	1	0				0		0	Coin						0	0
6	Npc	3727	2	0				0		0	Coin						0	0
7	Npc	3728	2	0				0		0	Coin						0	0
8	Npc	3729	2	0				0		0	Coin						0	0
9	Npc	3730	2	0				0		0	Coin						0	0
10	Npc	3731	2	0				0		0	Coin						0	0
11	Npc	3727	3	0				0		0	Coin						0	0
12	Npc	3728	3	0				0		0	Coin						0	0
13	Npc	3729	3	0				0		0	Coin						0	0
14	Npc	3730	3	0				0		0	Coin						0	0
15	Npc	3731	3	0				0		0	Coin						0	0
16	Npc	3727	4	0				0		0	Coin						0	0
17	Npc	3728	4	0				0		0	Coin						0	0
18	Npc	3729	4	0				0		0	Coin						0	0
19	Npc	3730	4	0				0		0	Coin						0	0
20	Npc	3731	4	0				0		0	Coin						0	0
21	Npc	3727	5	0				0		0	Coin						0	0
22	Npc	3728	5	0				0		0	Coin						0	0
23	Npc	3729	5	0				0		0	Coin						0	0
24	Npc	3730	5	0				0		0	Coin						0	0
25	Npc	3731	5	0				0		0	Coin						0	0
26	Npc	3737	1	0				0		0	Coin						0	0
27	Npc	3738	1	0				0		0	Coin						0	0
28	Npc	3739	1	0				0		0	Coin						0	0
29	Npc	3740	1	0				0		0	Coin						0	0
30	Npc	3741	1	0				0		0	Coin						0	0
31	Npc	3737	2	0				0		0	Coin						0	0
32	Npc	3738	2	0				0		0	Coin						0	0
33	Npc	3739	2	0				0		0	Coin						0	0
34	Npc	3740	2	0				0		0	Coin						0	0
35	Npc	3741	2	0				0		0	Coin						0	0
36	Npc	3737	3	0				0		0	Coin						0	0
37	Npc	3738	3	0				0		0	Coin						0	0
38	Npc	3739	3	0				0		0	Coin						0	0
39	Npc	3740	3	0				0		0	Coin						0	0
40	Npc	3741	3	0				0		0	Coin						0	0
41	Npc	3737	4	0				0		0	Coin						0	0
42	Npc	3738	4	0				0		0	Coin						0	0
43	Npc	3739	4	0				0		0	Coin						0	0
44	Npc	3740	4	0				0		0	Coin						0	0
45	Npc	3741	4	0				0		0	Coin						0	0
46	Npc	3737	5	0				0		0	Coin						0	0
47	Npc	3738	5	0				0		0	Coin						0	0
48	Npc	3739	5	0				0		0	Coin						0	0
49	Npc	3740	5	0				0		0	Coin						0	0
50	Npc	3741	5	0				0		0	Coin						0	0
51	Npc	3747	1	0				0		0	Coin						0	0
52	Npc	3748	1	0				0		0	Coin						0	0
53	Npc	3749	1	0				0		0	Coin						0	0
54	Npc	3750	1	0				0		0	Coin						0	0
55	Npc	3751	1	0				0		0	Coin						0	0
56	Npc	3747	2	0				0		0	Coin						0	0
57	Npc	3748	2	0				0		0	Coin						0	0
58	Npc	3749	2	0				0		0	Coin						0	0
59	Npc	3750	2	0				0		0	Coin						0	0
60	Npc	3751	2	0				0		0	Coin						0	0
61	Npc	3747	3	0				0		0	Coin						0	0
62	Npc	3748	3	0				0		0	Coin						0	0
63	Npc	3749	3	0				0		0	Coin						0	0
64	Npc	3750	3	0				0		0	Coin						0	0
65	Npc	3751	3	0				0		0	Coin						0	0
66	Npc	3747	4	0				0		0	Coin						0	0
67	Npc	3748	4	0				0		0	Coin						0	0
68	Npc	3749	4	0				0		0	Coin						0	0
69	Npc	3750	4	0				0		0	Coin						0	0
70	Npc	3751	4	0				0		0	Coin						0	0
71	Npc	3747	5	0				0		0	Coin						0	0
72	Npc	3748	5	0				0		0	Coin						0	0
73	Npc	3749	5	0				0		0	Coin						0	0
74	Npc	3750	5	0				0		0	Coin						0	0
75	Npc	3751	5	0				0		0	Coin						0	0
76	Npc	3757	1	0				0		0	Coin						0	0
77	Npc	3758	1	0				0		0	Coin						0	0
78	Npc	3759	1	0				0		0	Coin						0	0
79	Npc	3760	1	0				0		0	Coin						0	0
80	Npc	3761	1	0				0		0	Coin						0	0
81	Npc	3757	2	0				0		0	Coin						0	0
82	Npc	3758	2	0				0		0	Coin						0	0
83	Npc	3759	2	0				0		0	Coin						0	0
84	Npc	3760	2	0				0		0	Coin						0	0
85	Npc	3761	2	0				0		0	Coin						0	0
86	Npc	3757	3	0				0		0	Coin						0	0
87	Npc	3758	3	0				0		0	Coin						0	0
88	Npc	3759	3	0				0		0	Coin						0	0
89	Npc	3760	3	0				0		0	Coin						0	0
90	Npc	3761	3	0				0		0	Coin						0	0
91	Npc	3757	4	0				0		0	Coin						0	0
92	Npc	3758	4	0				0		0	Coin						0	0
93	Npc	3759	4	0				0		0	Coin						0	0
94	Npc	3760	4	0				0		0	Coin						0	0
95	Npc	3761	4	0				0		0	Coin						0	0
96	Npc	3757	5	0				0		0	Coin						0	0
97	Npc	3758	5	0				0		0	Coin						0	0
98	Npc	3759	5	0				0		0	Coin						0	0
99	Npc	3760	5	0				0		0	Coin						0	0
100	Npc	3761	5	0				0		0	Coin						0	0
101	Npc	3767	1	0				0		0	Coin						0	0
102	Npc	3768	1	0				0		0	Coin						0	0
103	Npc	3769	1	0				0		0	Coin						0	0
104	Npc	3770	1	0				0		0	Coin						0	0
105	Npc	3771	1	0				0		0	Coin						0	0
106	Npc	3767	2	0				0		0	Coin						0	0
107	Npc	3768	2	0				0		0	Coin						0	0
108	Npc	3769	2	0				0		0	Coin						0	0
109	Npc	3770	2	0				0		0	Coin						0	0
110	Npc	3771	2	0				0		0	Coin						0	0
111	Npc	3767	3	0				0		0	Coin						0	0
112	Npc	3768	3	0				0		0	Coin						0	0
113	Npc	3769	3	0				0		0	Coin						0	0
114	Npc	3770	3	0				0		0	Coin						0	0
115	Repute	3771	3	0				0		0	Coin						0	0
116	Repute	3767	4	0				0		0	Coin						0	0
117	Repute	3768	4	0				0		0	Coin						0	0
118	Repute	3769	4	0				0		0	Coin						0	0
119	Repute	3770	4	0				0		0	Coin						0	0
120	Repute	3771	4	0				0		0	Coin						0	0
121	Repute	3767	5	0				0		0	Coin						0	0
122	Repute	3768	5	0				0		0	Coin						0	0
123	Repute	3769	5	0				0		0	Coin						0	0
124	Repute	3770	5	0				0		0	Coin						0	0
125	Repute	3771	5	0				0		0	Coin						0	0
126	Repute	3777	1	0				0		0	Coin						0	0
127	Repute	3778	1	0				0		0	Coin						0	0
128	Repute	3779	1	0				0		0	Coin						0	0
129	Repute	3780	1	0				0		0	Coin						0	0
130	Repute	3781	1	0				0		0	Coin						0	0
131	Repute	3777	2	0				0		0	Coin						0	0
132	Repute	3778	2	0				0		0	Coin						0	0
133	Repute	3779	2	0				0		0	Coin						0	0
134	Repute	3780	2	0				0		0	Coin						0	0
135	Repute	3781	2	0				0		0	Coin						0	0
136	Repute	3777	3	0				0		0	Coin						0	0
137	Repute	3778	3	0				0		0	Coin						0	0
138	Repute	3779	3	0				0		0	Coin						0	0
139	Repute	3780	3	0				0		0	Coin						0	0
140	Repute	3781	3	0				0		0	Coin						0	0
141	Repute	3777	4	0				0		0	Coin						0	0
142	Repute	3778	4	0				0		0	Coin						0	0
143	Repute	3779	4	0				0		0	Coin						0	0
144	Repute	3780	4	0				0		0	Coin						0	0
145	Repute	3781	4	0				0		0	Coin						0	0
146	Repute	3777	5	0				0		0	Coin						0	0
147	Repute	3778	5	0				0		0	Coin						0	0
148	Repute	3779	5	0				0		0	Coin						0	0
149	Repute	3780	5	0				0		0	Coin						0	0
150	Repute	3781	5	0				0		0	Coin						0	0
151	Repute	0	0	0				0		0	Coin						0	0
152	Repute	0	0	0				0		0	Coin						0	0
153	Repute	0	0	0				0		0	Coin						0	0
154	Repute	0	0	0				0		0	Coin						0	0
155	Repute	0	0	0				0		0	Coin						0	0
156	Repute	0	0	0				0		0	Coin						0	0
157	Repute	0	0	0				0		0	Coin						0	0
158	Repute	0	0	0				0		0	Coin						0	0
159	Repute	0	0	0				0		0	Coin						0	0
160	Repute	0	0	0				0		0	Coin						0	0
161	Repute	0	0	0				0		0	Coin						0	0
162	Repute	0	0	0				0		0	Coin						0	0
163	Repute	0	0	0				0		0	Coin						0	0
164	Repute	0	0	0				0		0	Coin						0	0
165	Repute	0	0	0				0		0	Coin						0	0
166	Repute	0	0	0				0		0	Coin						0	0
167	Repute	0	0	0				0		0	Coin						0	0
168	Repute	0	0	0				0		0	Coin						0	0
169	Repute	0	0	0				0		0	Coin						0	0
170	Repute	0	0	0				0		0	Coin						0	0
171	Repute	0	0	0				0		0	Coin						0	0
172	Repute	0	0	0				0		0	Coin						0	0
173	Repute	0	0	0				0		0	Coin						0	0
174	Repute	0	0	0				0		0	Coin						0	0
175	Repute	0	0	0				0		0	Coin						0	0
176	Repute	3834	1	0				0		0	Coin						0	0
177	Repute	3835	1	0				0		0	Coin						0	0
178	Repute	3836	1	0				0		0	Coin						0	0
179	Repute	3837	1	0				0		0	Coin						0	0
180	Repute	3838	1	0				0		0	Coin						0	0
181	Repute	3834	2	0				0		0	Coin						0	0
182	Repute	3835	2	0				0		0	Coin						0	0
183	Repute	3836	2	0				0		0	Coin						0	0
184	Repute	3837	2	0				0		0	Coin						0	0
185	Repute	3838	2	0				0		0	Coin						0	0
186	Repute	3834	3	0				0		0	Coin						0	0
187	Repute	3835	3	0				0		0	Coin						0	0
188	Repute	3836	3	0				0		0	Coin						0	0
189	Repute	3837	3	0				0		0	Coin						0	0
190	Repute	3838	3	0				0		0	Coin						0	0
191	Repute	3834	4	0				0		0	Coin						0	0
192	Repute	3835	4	0				0		0	Coin						0	0
193	Repute	3836	4	0				0		0	Coin						0	0
194	Repute	3837	4	0				0		0	Coin						0	0
195	Repute	3838	4	0				0		0	Coin						0	0
196	Repute	3834	5	0				0		0	Coin						0	0
197	Repute	3835	5	0				0		0	Coin						0	0
198	Repute	3836	5	0				0		0	Coin						0	0
199	Repute	3837	5	0				0		0	Coin						0	0
200	Repute	3838	5	0				0		0	Coin						0	0
201	Repute	3844	1	0				0		0	Coin						0	0
202	Repute	3845	1	0				0		0	Coin						0	0
203	Repute	3846	1	0				0		0	Coin						0	0
204	Repute	3847	1	0				0		0	Coin						0	0
205	Repute	3848	1	0				0		0	Coin						0	0
206	Repute	3844	2	0				0		0	Coin						0	0
207	Repute	3845	2	0				0		0	Coin						0	0
208	Repute	3846	2	0				0		0	Coin						0	0
209	Repute	3847	2	0				0		0	Coin						0	0
210	Repute	3848	2	0				0		0	Coin						0	0
211	Repute	3844	3	0				0		0	Coin						0	0
212	Repute	3845	3	0				0		0	Coin						0	0
213	Repute	3846	3	0				0		0	Coin						0	0
214	Repute	3847	3	0				0		0	Coin						0	0
215	Repute	3848	3	0				0		0	Coin						0	0
216	Repute	3844	4	0				0		0	Coin						0	0
217	Repute	3845	4	0				0		0	Coin						0	0
218	Repute	3846	4	0				0		0	Coin						0	0
219	Repute	3847	4	0				0		0	Coin						0	0
220	Repute	3848	4	0				0		0	Coin						0	0
221	Repute	3844	5	0				0		0	Coin						0	0
222	Repute	3845	5	0				0		0	Coin						0	0
223	Repute	3846	5	0				0		0	Coin						0	0
224	Repute	3847	5	0				0		0	Coin						0	0
225	Repute	3848	5	0				0		0	Coin						0	0
226	Repute	3152	1	0				0		0	Coin						0	0
227	Repute	3153	1	0				0		0	Coin						0	0
228	Repute	3154	1	0				0		0	Coin						0	0
229	Repute	3155	1	0				0		0	Coin						0	0
230	Repute	3156	1	0				0		0	Coin						0	0
231	Repute	3152	2	0				0		0	Coin						0	0
232	Repute	3153	2	0				0		0	Coin						0	0
233	Repute	3154	2	0				0		0	Coin						0	0
234	Repute	3155	2	0				0		0	Coin						0	0
235	Repute	3156	2	0				0		0	Coin						0	0
236	Repute	3152	3	0				0		0	Coin						0	0
237	Repute	3153	3	0				0		0	Coin						0	0
238	Repute	3154	3	0				0		0	Coin						0	0
239	Repute	3155	3	0				0		0	Coin						0	0
240	Repute	3156	3	0				0		0	Coin						0	0
241	Repute	3152	4	0				0		0	Coin						0	0
242	Repute	3153	4	0				0		0	Coin						0	0
243	Repute	3154	4	0				0		0	Coin						0	0
244	Repute	3155	4	0				0		0	Coin						0	0
245	Repute	3156	4	0				0		0	Coin						0	0
246	Repute	3152	5	0				0		0	Coin						0	0
247	Repute	3153	5	0				0		0	Coin						0	0
248	Repute	3154	5	0				0		0	Coin						0	0
249	Repute	3155	5	0				0		0	Coin						0	0
250	Repute	3156	5	0				0		0	Coin						0	0
251	Repute	3162	1	0				0		0	Coin						0	0
252	Repute	3163	1	0				0		0	Coin						0	0
253	Repute	3164	1	0				0		0	Coin						0	0
254	Repute	3165	1	0				0		0	Coin						0	0
255	Repute	3166	1	0				0		0	Coin						0	0
256	Repute	3162	2	0				0		0	Coin						0	0
257	Repute	3163	2	0				0		0	Coin						0	0
258	Repute	3164	2	0				0		0	Coin						0	0
259	Repute	3165	2	0				0		0	Coin						0	0
260	Repute	3166	2	0				0		0	Coin						0	0
261	Repute	3162	3	0				0		0	Coin						0	0
262	Repute	3163	3	0				0		0	Coin						0	0
263	Repute	3164	3	0				0		0	Coin						0	0
264	Repute	3165	3	0				0		0	Coin						0	0
265	Repute	3166	3	0				0		0	Coin						0	0
266	Repute	3162	4	0				0		0	Coin						0	0
267	Repute	3163	4	0				0		0	Coin						0	0
268	Repute	3164	4	0				0		0	Coin						0	0
269	Repute	3165	4	0				0		0	Coin						0	0
270	Repute	3166	4	0				0		0	Coin						0	0
271	Repute	3162	5	0				0		0	Coin						0	0
272	Repute	3163	5	0				0		0	Coin						0	0
273	Repute	3164	5	0				0		0	Coin						0	0
274	Repute	3165	5	0				0		0	Coin						0	0
275	Repute	3166	5	0				0		0	Coin						0	0
276	Repute	3172	1	0				0		0	Coin						0	0
277	Repute	3173	1	0				0		0	Coin						0	0
278	Repute	3174	1	0				0		0	Coin						0	0
279	Repute	3175	1	0				0		0	Coin						0	0
280	Repute	3176	1	0				0		0	Coin						0	0
281	Repute	3172	2	0				0		0	Coin						0	0
282	Repute	3173	2	0				0		0	Coin						0	0
283	Repute	3174	2	0				0		0	Coin						0	0
284	Repute	3175	2	0				0		0	Coin						0	0
285	Repute	3176	2	0				0		0	Coin						0	0
286	Repute	3172	3	0				0		0	Coin						0	0
287	Repute	3173	3	0				0		0	Coin						0	0
288	Repute	3174	3	0				0		0	Coin						0	0
289	Repute	3175	3	0				0		0	Coin						0	0
290	Repute	3176	3	0				0		0	Coin						0	0
291	Repute	3172	4	0				0		0	Coin						0	0
292	Repute	3173	4	0				0		0	Coin						0	0
293	Repute	3174	4	0				0		0	Coin						0	0
294	Repute	3175	4	0				0		0	Coin						0	0
295	Repute	3176	4	0				0		0	Coin						0	0
296	Repute	3172	5	0				0		0	Coin						0	0
297	Repute	3173	5	0				0		0	Coin						0	0
298	Repute	3174	5	0				0		0	Coin						0	0
299	Repute	3175	5	0				0		0	Coin						0	0
300	Repute	3176	5	0				0		0	Coin						0	0
301	Repute	3182	1	0				0		0	Coin						0	0
302	Repute	3183	1	0				0		0	Coin						0	0
303	Repute	3184	1	0				0		0	Coin						0	0
304	Repute	3185	1	0				0		0	Coin						0	0
305	Repute	3186	1	0				0		0	Coin						0	0
306	Repute	3182	2	0				0		0	Coin						0	0
307	Repute	3183	2	0				0		0	Coin						0	0
308	Repute	3184	2	0				0		0	Coin						0	0
309	Repute	3185	2	0				0		0	Coin						0	0
310	Repute	3186	2	0				0		0	Coin						0	0
311	Repute	3182	3	0				0		0	Coin						0	0
312	Repute	3183	3	0				0		0	Coin						0	0
313	Repute	3184	3	0				0		0	Coin						0	0
314	Repute	3185	3	0				0		0	Coin						0	0
315	Repute	3186	3	0				0		0	Coin						0	0
316	Repute	3182	4	0				0		0	Coin						0	0
317	Repute	3183	4	0				0		0	Coin						0	0
318	Repute	3184	4	0				0		0	Coin						0	0
319	Repute	3185	4	0				0		0	Coin						0	0
