nWareId	nSort	szReputeType	nEquipPos	nLevel
368	1	ZhuLuRepute	-1	-1
124	2	ZhuLuRepute	5	10
134	3	ZhuLuRepute	5	10
144	4	ZhuLuRepute	6	10
154	5	ZhuLuRepute	6	10
164	6	ZhuLuRepute	0	10
174	7	ZhuLuRepute	0	10
184	8	ZhuLuRepute	2	10
194	9	ZhuLuRepute	2	10
318	10	ZhuLuRepute	5	10
323	11	ZhuLuRepute	6	10
330	12	ZhuLuRepute	0	10
336	13	ZhuLuRepute	2	10
123	14	ZhuLuRepute	5	9
133	15	ZhuLuRepute	5	9
143	16	ZhuLuRepute	6	9
153	17	ZhuLuRepute	6	9
163	18	ZhuLuRepute	0	9
173	19	ZhuLuRepute	0	9
183	20	ZhuLuRepute	2	9
193	21	ZhuLuRepute	2	9
317	22	ZhuLuRepute	5	9
322	23	ZhuLuRepute	6	9
329	24	ZhuLuRepute	0	9
335	25	ZhuLuRepute	2	9
122	26	ZhuLuRepute	5	8
132	27	ZhuLuRepute	5	8
142	28	ZhuLuRepute	6	8
152	29	ZhuLuRepute	6	8
162	30	ZhuLuRepute	0	8
172	31	ZhuLuRepute	0	8
182	32	ZhuLuRepute	2	8
192	33	ZhuLuRepute	2	8
316	34	ZhuLuRepute	5	8
321	35	ZhuLuRepute	6	8
328	36	ZhuLuRepute	0	8
334	37	ZhuLuRepute	2	8
121	38	ZhuLuRepute	5	7
131	39	ZhuLuRepute	5	7
141	40	ZhuLuRepute	6	7
151	41	ZhuLuRepute	6	7
161	42	ZhuLuRepute	0	7
171	43	ZhuLuRepute	0	7
181	44	ZhuLuRepute	2	7
191	45	ZhuLuRepute	2	7
315	46	ZhuLuRepute	5	7
320	47	ZhuLuRepute	6	7
327	48	ZhuLuRepute	0	7
333	49	ZhuLuRepute	2	7
120	50	ZhuLuRepute	5	6
130	51	ZhuLuRepute	5	6
140	52	ZhuLuRepute	6	6
150	53	ZhuLuRepute	6	6
160	54	ZhuLuRepute	0	6
170	55	ZhuLuRepute	0	6
180	56	ZhuLuRepute	2	6
190	57	ZhuLuRepute	2	6
319	58	ZhuLuRepute	6	6
326	59	ZhuLuRepute	0	6
332	60	ZhuLuRepute	2	6
119	61	ZhuLuRepute	5	5
129	62	ZhuLuRepute	5	5
139	63	ZhuLuRepute	6	5
149	64	ZhuLuRepute	6	5
159	65	ZhuLuRepute	0	5
169	66	ZhuLuRepute	0	5
179	67	ZhuLuRepute	2	5
189	68	ZhuLuRepute	2	5
325	69	ZhuLuRepute	0	5
331	70	ZhuLuRepute	2	5
118	71	ZhuLuRepute	5	4
128	72	ZhuLuRepute	5	4
138	73	ZhuLuRepute	6	4
148	74	ZhuLuRepute	6	4
158	75	ZhuLuRepute	0	4
168	76	ZhuLuRepute	0	4
178	77	ZhuLuRepute	2	4
188	78	ZhuLuRepute	2	4
324	79	ZhuLuRepute	0	4
117	80	ZhuLuRepute	5	3
127	81	ZhuLuRepute	5	3
137	82	ZhuLuRepute	6	3
147	83	ZhuLuRepute	6	3
157	84	ZhuLuRepute	0	3
167	85	ZhuLuRepute	0	3
177	86	ZhuLuRepute	2	3
187	87	ZhuLuRepute	2	3
116	88	ZhuLuRepute	5	2
126	89	ZhuLuRepute	5	2
136	90	ZhuLuRepute	6	2
146	91	ZhuLuRepute	6	2
156	92	ZhuLuRepute	0	2
166	93	ZhuLuRepute	0	2
176	94	ZhuLuRepute	2	2
186	95	ZhuLuRepute	2	2
115	96	ZhuLuRepute	5	1
125	97	ZhuLuRepute	5	1
135	98	ZhuLuRepute	6	1
145	99	ZhuLuRepute	6	1
155	100	ZhuLuRepute	0	1
165	101	ZhuLuRepute	0	1
175	102	ZhuLuRepute	2	1
185	103	ZhuLuRepute	2	1
480	104	WuWeiRepute	-1	-1
204	105	WuWeiRepute	1	10
214	106	WuWeiRepute	1	10
224	107	WuWeiRepute	7	10
