nWareId	nSort
374	1
375	2
376	3
377	4
378	5
379	6
380	7
3312	8
3313	9
3314	10
3315	11
3316	12
3317	13
3318	14
3319	15
3320	16
3321	17
3302	18
3303	19
3304	20
3305	21
3306	22
3307	23
3308	24
3309	25
3310	26
3311	27
3292	28
3293	29
3294	30
3295	31
3296	32
3297	33
3298	34
3299	35
3300	36
3301	37
1442	38
1443	39
1444	40
1445	41
1446	42
1447	43
1448	44
1449	45
1450	46
1451	47
1432	48
1433	49
1434	50
1435	51
1436	52
1437	53
1438	54
1439	55
1440	56
1441	57
1422	58
1423	59
1424	60
1425	61
1426	62
1427	63
1428	64
1429	65
1430	66
1431	67
1412	68
1413	69
1414	70
1415	71
1416	72
1417	73
1418	74
1419	75
1420	76
1421	77
1635	78
1636	79
1637	80
1638	81
1639	82
1640	83
1641	84
1642	85
1643	86
1644	87
