Faction	FactionSect	SkillSectType	SkillId	Desc	GainLevel	IsBaseSkill	BtnName	IconAltlas	BtnIcon	SortInUI	IsAnger	LevelUpGroup	SourceSkillId	RelationSkillId	RelationSpecialState	SkillGroup	CastType
1	0	1	1301	<i18n=7601>	0	1		UI/atlas/faction_1_0_0/hengsaoliuhe.png		1		1				3	0
1	0	1	1303	<i18n=11143>	2	0		UI/atlas/faction_1_0_0/shizihou.png		2		2				2	0
1	0	1	1305	<i18n=4474>	3	0		UI/atlas/faction_1_0_0/yijinjing.png		3		3				2	0
1	0	1	1315	<i18n=1622>	10	0		UI/atlas/faction_1_0_0/fumogunfa.png		4		4				2	1
1	0	1	1302	<i18n=5414>	20	0		UI/atlas/faction_1_0_0/zuibaxiangun.png		5		5				2	0
1	0	1	1306	<i18n=747>	30	0		UI/atlas/faction_1_0_1/shaolingunfa.png		6		6				1	0
1	0	1	1307	<i18n=9405>	40	0		UI/atlas/faction_1_0_1/aluohanshengong.png		7		7				1	0
1	0	1	1310	<i18n=724>	50	0		UI/atlas/faction_1_0_1/jingangbuhuai.png		8		8				1	0
1	0	1	1309	<i18n=14935>	60	0		UI/atlas/faction_1_0_1/damowujing.png		9		9				1	0
1	0	1	1308	<i18n=5350>	70	0		UI/atlas/faction_1_0_1/wuxiangshengong.png		10		10				1	0
1	0	1	1316	<i18n=3567>	80	0		UI/atlas/faction_1_0_1/fengmogunfa.png		11		11				1	0
1	0	1	1322	<i18n=38462>	90	0		UI/atlas/faction_1_0_1/yijinjing.png		12		12				1	0
1	0	1	1324	<i18n=62467>	100	0		UI/atlas/faction_1_0_1/jinganghuti.png		13		13				1	0
1	0	1	1325	<i18n=62478>	110	0		UI/atlas/faction_1_0_1/jingangnumu.png		14		14				1	0
1	1	1	1201	<i18n=14463>	0	1		UI/atlas/faction_1_1_0/tianzhujuedao.png		1		1				3	3
1	1	1	1202	<i18n=14211>	2	0		UI/atlas/faction_1_1_0/dachengrulaizhou.png		2		2				2	2
1	1	1	1203	<i18n=16118>	3	0		UI/atlas/faction_1_1_0/putixinfa.png		3		3				2	0
1	1	1	1214	<i18n=14049>	10	0		UI/atlas/faction_1_1_0/fumodaofa.png		4		4				2	1
1	1	1	1216	<i18n=5208>	20	0		UI/atlas/faction_1_1_0/guichandao.png		5		5				2	1
