szMagicAttrib	nValue1Max	nValue2Max	nValue3Max	ApplySkillSet
returnskillstate_metal_p	0	0	0	2302;1805
returnskillstate_wood_p	0	0	0	2302;2307;1805
returnskillstate_water_p	0	0	0	2302;1805
returnskillstate_fire_p	0	0	0	2302;1805
returnskillstate_earth_p	0	0	0	2302;1805
returnskillstate_holy_p	0	0	0	2302;1805
returnspecialstate_metal_p	0	0	0	2302;1805
returnspecialstate_wood_p	0	0	0	2302;1805
returnspecialstate_water_p	0	0	0	2302;1805
returnspecialstate_fire_p	0	0	0	2302;1805
returnspecialstate_earth_p	0	0	0	2302;1805
returnspecialstate_holy_p	0	0	0	2302;1805
ignoreskillstate_metal_p	0	0	0	2302;1805
ignoreskillstate_wood_p	0	0	0	2302;1805
ignoreskillstate_water_p	0	0	0	2302;1805
ignoreskillstate_fire_p	0	0	0	2302;1805
ignoreskillstate_earth_p	0	0	0	2302;1805
ignoreskillstate_holy_p	0	0	0	2302;1805
ignorespecialstate_metal_p	0	0	0	2302;1805
ignorespecialstate_wood_p	0	0	0	2302;1805
ignorespecialstate_water_p	0	0	0	2302;1805
ignorespecialstate_fire_p	0	0	0	2302;1805
ignorespecialstate_earth_p	0	0	0	2302;1805
ignorespecialstate_holy_p	0	0	0	2302;1805
