GroupId	SkillLevel	ReqLevel	Coin	Exp	SkillPoint	FightPower	KinContrib	bNeedExtend	szExtendTimeFrame	nExtendItemId	nExtendCost
1	1	1			1						
1	2	2			1						
1	3	3			1						
1	4	4			1						
1	5	5			1						
1	6	6			1						
1	7	7			1						
1	8	8			1						
1	9	9			1						
1	10	10			1						
1	11	11			1						
1	12	12			1						
1	13	13			1						
1	14	14			1						
1	15	15			1						
1	16	16			1						
1	17	17			1						
1	18	18			1						
1	19	19			1						
1	20	20			1						
1	21	160			1			1	OpenLevel169	2063	1
1	22	161			1			1	OpenLevel169	2063	1
1	23	162			1			1	OpenLevel169	2063	1
1	24	163			1			1	OpenLevel169	2063	1
1	25	164			1			1	OpenLevel169	2063	1
2	1	2			1						
2	2	3			1						
2	3	4			1						
2	4	5			1						
2	5	6			1						
2	6	7			1						
2	7	8			1						
2	8	9			1						
2	9	10			1						
2	10	11			1						
2	11	12			1						
2	12	13			1						
2	13	14			1						
2	14	15			1						
2	15	16			1						
2	16	17			1						
2	17	18			1						
2	18	19			1						
2	19	20			1						
2	20	21			1						
2	21	170			1			1	OpenLevel179	2064	1
2	22	171			1			1	OpenLevel179	2064	1
2	23	172			1			1	OpenLevel179	2064	1
2	24	173			1			1	OpenLevel179	2064	1
2	25	174			1			1	OpenLevel179	2064	1
3	1	3			1						
3	2	4			1						
3	3	5			1						
3	4	6			1						
3	5	7			1						
3	6	8			1						
3	7	9			1						
3	8	10			1						
3	9	11			1						
3	10	12			1						
3	11	13			1						
3	12	14			1						
3	13	15			1						
3	14	16			1						
3	15	17			1						
3	16	18			1						
3	17	19			1						
3	18	20			1						
3	19	21			1						
3	20	22			1						
3	21	170			1			1	OpenLevel179	2064	1
3	22	171			1			1	OpenLevel179	2064	1
3	23	172			1			1	OpenLevel179	2064	1
3	24	173			1			1	OpenLevel179	2064	1
3	25	174			1			1	OpenLevel179	2064	1
4	1	10			1						
4	2	11			1						
4	3	12			1						
4	4	13			1						
4	5	14			1						
4	6	15			1						
4	7	16			1						
4	8	17			1						
4	9	18			1						
4	10	19			1						
4	11	20			1						
4	12	21			1						
4	13	22			1						
4	14	23			1						
4	15	24			1						
4	16	25			1						
4	17	26			1						
4	18	27			1						
4	19	28			1						
4	20	29			1						
4	21	180			1			1	OpenLevel189	2065	1
4	22	181			1			1	OpenLevel189	2065	1
4	23	182			1			1	OpenLevel189	2065	1
4	24	183			1			1	OpenLevel189	2065	1
4	25	184			1			1	OpenLevel189	2065	1
5	1	20			1						
5	2	21			1						
5	3	22			1						
5	4	23			1						
5	5	24			1						
5	6	25			1						
5	7	26			1						
5	8	27			1						
5	9	28			1						
5	10	29			1						
5	11	30			1						
5	12	31			1						
5	13	32			1						
5	14	33			1						
5	15	34			1						
5	16	35			1						
5	17	36			1						
5	18	37			1						
5	19	38			1						
5	20	39			1						
5	21	180			1			1	OpenLevel189	2065	1
5	22	181			1			1	OpenLevel189	2065	1
5	23	182			1			1	OpenLevel189	2065	1
5	24	183			1			1	OpenLevel189	2065	1
5	25	184			1			1	OpenLevel189	2065	1
6	1	30			1						
6	2	31			1						
6	3	32			1						
6	4	33			1						
6	5	34			1						
6	6	35			1						
6	7	36			1						
6	8	37			1						
6	9	38			1						
6	10	39			1						
6	11	130			1			1	OpenLevel139	2060	1
6	12	131			1			1	OpenLevel139	2060	1
6	13	132			1			1	OpenLevel139	2060	1
6	14	133			1			1	OpenLevel139	2060	1
6	15	134			1			1	OpenLevel139	2060	1
7	1	40			1						
7	2	41			1						
7	3	42			1						
7	4	43			1						
7	5	44			1						
7	6	45			1						
7	7	46			1						
7	8	47			1						
7	9	48			1						
7	10	49			1						
7	11	130			1			1	OpenLevel139	2060	1
7	12	131			1			1	OpenLevel139	2060	1
7	13	132			1			1	OpenLevel139	2060	1
7	14	133			1			1	OpenLevel139	2060	1
7	15	134			1			1	OpenLevel139	2060	1
8	1	50			1						
8	2	51			1						
8	3	52			1						
8	4	53			1						
8	5	54			1						
8	6	55			1						
8	7	56			1						
8	8	57			1						
8	9	58			1						
8	10	59			1						
8	11	140			1			1	OpenLevel149	2061	1
8	12	141			1			1	OpenLevel149	2061	1
8	13	142			1			1	OpenLevel149	2061	1
8	14	143			1			1	OpenLevel149	2061	1
8	15	144			1			1	OpenLevel149	2061	1
9	1	60			1						
9	2	61			1						
9	3	62			1						
9	4	63			1						
9	5	64			1						
9	6	65			1						
9	7	66			1						
9	8	67			1						
9	9	68			1						
9	10	69			1						
9	11	140			1			1	OpenLevel149	2061	1
9	12	141			1			1	OpenLevel149	2061	1
9	13	142			1			1	OpenLevel149	2061	1
9	14	143			1			1	OpenLevel149	2061	1
9	15	144			1			1	OpenLevel149	2061	1
10	1	70			1						
10	2	71			1						
10	3	72			1						
10	4	73			1						
10	5	74			1						
10	6	75			1						
10	7	76			1						
10	8	77			1						
10	9	78			1						
10	10	79			1						
10	11	150			1			1	OpenLevel159	2062	1
10	12	151			1			1	OpenLevel159	2062	1
10	13	152			1			1	OpenLevel159	2062	1
10	14	153			1			1	OpenLevel159	2062	1
10	15	154			1			1	OpenLevel159	2062	1
11	1	80			1						
11	2	81			1						
11	3	82			1						
11	4	83			1						
11	5	84			1						
11	6	85			1						
11	7	86			1						
11	8	87			1						
11	9	88			1						
11	10	89			1						
11	11	150			1			1	OpenLevel159	2062	1
11	12	151			1			1	OpenLevel159	2062	1
11	13	152			1			1	OpenLevel159	2062	1
11	14	153			1			1	OpenLevel159	2062	1
11	15	154			1			1	OpenLevel159	2062	1
12	1	90			1						
12	2	91			1						
12	3	92			1						
12	4	93			1						
12	5	94			1						
12	6	95			1						
12	7	96			1						
12	8	97			1						
12	9	98			1						
12	10	99			1						
12	11	160			1			1	OpenLevel169	2063	1
12	12	161			1			1	OpenLevel169	2063	1
12	13	162			1			1	OpenLevel169	2063	1
12	14	163			1			1	OpenLevel169	2063	1
12	15	164			1			1	OpenLevel169	2063	1
13	1	100			1						
13	2	101			1						
13	3	102			1						
13	4	103			1						
13	5	104			1						
13	6	105			1						
13	7	106			1						
13	8	107			1						
13	9	108			1						
13	10	109			1						
13	11	190			1			1	OpenLevel199	2067	1
13	12	191			1			1	OpenLevel199	2067	1
13	13	192			1			1	OpenLevel199	2067	1
13	14	193			1			1	OpenLevel199	2067	1
13	15	194			1			1	OpenLevel199	2067	1
14	1	110			1						
14	2	111			1						
14	3	112			1						
14	4	113			1						
14	5	114			1						
14	6	115			1						
14	7	116			1						
14	8	117			1						
14	9	118			1						
14	10	119			1						
14	11	190			1			1	OpenLevel199	2067	1
14	12	191			1			1	OpenLevel199	2067	1
14	13	192			1			1	OpenLevel199	2067	1
14	14	193			1			1	OpenLevel199	2067	1
14	15	194			1			1	OpenLevel199	2067	1
