Level	FightPower
1	768
2	768
3	768
4	768
5	768
6	768
7	768
8	768
9	768
10	768
11	768
12	768
13	768
14	768
15	768
16	768
17	768
18	768
19	768
20	768
21	768
22	768
23	768
24	768
25	768
26	768
27	768
28	768
29	768
30	768
31	768
32	768
33	768
34	768
35	768
36	768
37	768
38	768
39	768
40	1536
41	1536
42	1536
43	1536
44	1536
45	1536
46	1536
47	1536
48	1536
49	1536
50	3072
51	3072
52	3072
53	3072
54	3072
55	3072
56	3072
57	3072
58	3072
59	3072
60	6144
61	6144
62	6144
63	6144
64	6144
65	6144
66	6144
67	6144
68	6144
69	6144
70	12288
71	12288
72	12288
73	12288
74	12288
75	12288
76	12288
77	12288
78	12288
79	12288
80	24576
81	24576
82	24576
83	24576
84	24576
85	24576
86	24576
87	24576
88	24576
89	24576
90	49152
91	49152
92	49152
93	49152
94	49152
95	49152
96	49152
97	49152
98	49152
99	49152
100	98304
101	98304
102	98304
103	98304
104	98304
105	98304
106	98304
107	98304
108	98304
109	98304
110	196608
111	196608
112	196608
113	196608
114	196608
115	196608
116	196608
117	196608
118	196608
119	196608
120	196608
121	196608
122	196608
123	196608
124	196608
125	196608
126	196608
127	196608
128	196608
129	196608
130	196608
131	196608
132	196608
133	196608
134	196608
135	196608
136	196608
137	196608
138	196608
139	196608
140	196608
141	196608
142	196608
143	196608
144	196608
145	196608
146	196608
147	196608
148	196608
149	196608
150	196608
151	196608
152	196608
153	196608
154	196608
155	196608
156	196608
157	196608
158	196608
159	196608
160	196608
161	196608
162	196608
163	196608
164	196608
165	196608
166	196608
167	196608
168	196608
169	196608
170	196608
171	196608
172	196608
173	196608
174	196608
175	196608
176	196608
177	196608
178	196608
179	196608
180	196608
181	196608
182	196608
183	196608
184	196608
185	196608
186	196608
187	196608
188	196608
189	196608
190	196608
191	196608
192	196608
193	196608
194	196608
195	196608
196	196608
197	196608
198	196608
199	196608
200	196608
