Level	FightPower
1	4455
2	4455
3	4455
4	4455
5	4455
6	4455
7	4455
8	4455
9	4455
10	4455
11	4455
12	4455
13	4455
14	4455
15	4455
16	4455
17	4455
18	4455
19	4455
20	4455
21	4455
22	4455
23	4455
24	4455
25	4455
26	4455
27	4455
28	4455
29	4455
30	4455
31	4455
32	4455
33	4455
34	4455
35	4455
36	4455
37	4455
38	4455
39	4455
40	4455
41	4455
42	4455
43	4455
44	4455
45	4455
46	4455
47	4455
48	4455
49	4455
50	17010
51	17010
52	17010
53	17010
54	17010
55	17010
56	17010
57	17010
58	17010
59	17010
60	17010
61	17010
62	17010
63	17010
64	17010
65	17010
66	17010
67	17010
68	17010
69	17010
70	33210
71	33210
72	33210
73	33210
74	33210
75	33210
76	33210
77	33210
78	33210
79	33210
80	33210
81	33210
82	33210
83	33210
84	33210
85	33210
86	33210
87	33210
88	33210
89	33210
90	49410
91	49410
92	49410
93	49410
94	49410
95	49410
96	49410
97	49410
98	49410
99	49410
100	49410
101	49410
102	49410
103	49410
104	49410
105	49410
106	49410
107	49410
108	49410
109	49410
110	65610
111	65610
112	65610
113	65610
114	65610
115	65610
116	65610
117	65610
118	65610
119	65610
120	65610
121	65610
122	65610
123	65610
124	65610
125	65610
126	65610
127	65610
128	65610
129	65610
130	65610
131	65610
132	65610
133	65610
134	65610
135	65610
136	65610
137	65610
138	65610
139	65610
140	65610
141	65610
142	65610
143	65610
144	65610
145	65610
146	65610
147	65610
148	65610
149	65610
150	65610
151	65610
152	65610
153	65610
154	65610
155	65610
156	65610
157	65610
158	65610
159	65610
160	65610
161	65610
162	65610
163	65610
164	65610
165	65610
166	65610
167	65610
168	65610
169	65610
170	65610
171	65610
172	65610
173	65610
174	65610
175	65610
176	65610
177	65610
178	65610
179	65610
180	65610
181	65610
182	65610
183	65610
184	65610
185	65610
186	65610
187	65610
188	65610
189	65610
190	65610
191	65610
192	65610
193	65610
194	65610
195	65610
196	65610
197	65610
198	65610
199	65610
200	65610
