Level	FightPower
1	300
2	300
3	300
4	300
5	300
6	300
7	300
8	300
9	300
10	300
11	300
12	300
13	300
14	300
15	300
16	300
17	300
18	300
19	300
20	300
21	300
22	300
23	300
24	300
25	300
26	300
27	300
28	300
29	300
30	300
31	300
32	300
33	300
34	300
35	300
36	300
37	300
38	300
39	300
40	1500
41	1500
42	1500
43	1500
44	1500
45	1500
46	1500
47	1500
48	1500
49	1500
50	3300
51	3300
52	3300
53	3300
54	3300
55	3300
56	3300
57	3300
58	3300
59	3300
60	8700
61	8700
62	8700
63	8700
64	8700
65	8700
66	8700
67	8700
68	8700
69	8700
70	15900
71	15900
72	15900
73	15900
74	15900
75	15900
76	15900
77	15900
78	15900
79	15900
80	35100
81	35100
82	35100
83	35100
84	35100
85	35100
86	35100
87	35100
88	35100
89	35100
90	59100
91	59100
92	59100
93	59100
94	59100
95	59100
96	59100
97	59100
98	59100
99	59100
100	95100
101	95100
102	95100
103	95100
104	95100
105	95100
106	95100
107	95100
108	95100
109	95100
110	143100
111	143100
112	143100
113	143100
114	143100
115	143100
116	143100
117	143100
118	143100
119	143100
120	191100
121	191100
122	191100
123	191100
124	191100
125	191100
126	191100
127	191100
128	191100
129	191100
130	191100
131	191100
132	191100
133	191100
134	191100
135	191100
136	191100
137	191100
138	191100
139	191100
140	191100
141	191100
142	191100
143	191100
144	191100
145	191100
146	191100
147	191100
148	191100
149	191100
150	191100
151	191100
152	191100
153	191100
154	191100
155	191100
156	191100
157	191100
158	191100
159	191100
160	191100
161	191100
162	191100
163	191100
164	191100
165	191100
166	191100
167	191100
168	191100
169	191100
170	191100
171	191100
172	191100
173	191100
174	191100
175	191100
176	191100
177	191100
178	191100
179	191100
180	191100
181	191100
182	191100
183	191100
184	191100
185	191100
186	191100
187	191100
188	191100
189	191100
190	191100
191	191100
192	191100
193	191100
194	191100
195	191100
196	191100
197	191100
198	191100
199	191100
200	191100
