Level	FightPower
1	2880
2	2880
3	2880
4	2880
5	2880
6	2880
7	2880
8	2880
9	2880
10	2880
11	2880
12	2880
13	2880
14	2880
15	2880
16	2880
17	2880
18	2880
19	2880
20	2880
21	2880
22	2880
23	2880
24	2880
25	2880
26	2880
27	2880
28	2880
29	2880
30	2880
31	2880
32	2880
33	2880
34	2880
35	2880
36	2880
37	2880
38	2880
39	2880
40	4320
41	4320
42	4320
43	4320
44	4320
45	4320
46	4320
47	4320
48	4320
49	4320
50	6240
51	6240
52	6240
53	6240
54	6240
55	6240
56	6240
57	6240
58	6240
59	6240
60	8160
61	8160
62	8160
63	8160
64	8160
65	8160
66	8160
67	8160
68	8160
69	8160
70	11040
71	11040
72	11040
73	11040
74	11040
75	11040
76	11040
77	11040
78	11040
79	11040
80	14880
81	14880
82	14880
83	14880
84	14880
85	14880
86	14880
87	14880
88	14880
89	14880
90	18720
91	18720
92	18720
93	18720
94	18720
95	18720
96	18720
97	18720
98	18720
99	18720
100	23520
101	23520
102	23520
103	23520
104	23520
105	23520
106	23520
107	23520
108	23520
109	23520
110	29280
111	29280
112	29280
113	29280
114	29280
115	29280
116	29280
117	29280
118	29280
119	29280
120	32640
121	32640
122	32640
123	32640
124	32640
125	32640
126	32640
127	32640
128	32640
129	32640
130	32640
131	32640
132	32640
133	32640
134	32640
135	32640
136	32640
137	32640
138	32640
139	32640
140	32640
141	32640
142	32640
143	32640
144	32640
145	32640
146	32640
147	32640
148	32640
149	32640
150	32640
151	32640
152	32640
153	32640
154	32640
155	32640
156	32640
157	32640
158	32640
159	32640
160	32640
161	32640
162	32640
163	32640
164	32640
165	32640
166	32640
167	32640
168	32640
169	32640
170	32640
171	32640
172	32640
173	32640
174	32640
175	32640
176	32640
177	32640
178	32640
179	32640
180	32640
181	32640
182	32640
183	32640
184	32640
185	32640
186	32640
187	32640
188	32640
189	32640
190	32640
191	32640
192	32640
193	32640
194	32640
195	32640
196	32640
197	32640
198	32640
199	32640
200	32640
