Level	FightPower
1	2250
2	2250
3	2250
4	2250
5	2250
6	2250
7	2250
8	2250
9	2250
10	2250
11	2250
12	2250
13	2250
14	2250
15	2250
16	2250
17	2250
18	2250
19	2250
20	2250
21	2250
22	2250
23	2250
24	2250
25	2250
26	2250
27	2250
28	2250
29	2250
30	2250
31	2250
32	2250
33	2250
34	2250
35	2250
36	2250
37	2250
38	2250
39	2250
40	4500
41	4500
42	4500
43	4500
44	4500
45	4500
46	4500
47	4500
48	4500
49	4500
50	7200
51	7200
52	7200
53	7200
54	7200
55	7200
56	7200
57	7200
58	7200
59	7200
60	18360
61	18360
62	18360
63	18360
64	18360
65	18360
66	18360
67	18360
68	18360
69	18360
70	64530
71	64530
72	64530
73	64530
74	64530
75	64530
76	64530
77	64530
78	64530
79	64530
80	75060
81	75060
82	75060
83	75060
84	75060
85	75060
86	75060
87	75060
88	75060
89	75060
90	93015
91	93015
92	93015
93	93015
94	93015
95	93015
96	93015
97	93015
98	93015
99	93015
100	163890
101	163890
102	163890
103	163890
104	163890
105	163890
106	163890
107	163890
108	163890
109	163890
110	163890
111	163890
112	163890
113	163890
114	163890
115	163890
116	163890
117	163890
118	163890
119	163890
120	180428
121	180428
122	180428
123	180428
124	180428
125	180428
126	180428
127	180428
128	180428
129	180428
130	180428
131	180428
132	180428
133	180428
134	180428
135	180428
136	180428
137	180428
138	180428
139	180428
140	180428
141	180428
142	180428
143	180428
144	180428
145	180428
146	180428
147	180428
148	180428
149	180428
150	180428
151	180428
152	180428
153	180428
154	180428
155	180428
156	180428
157	180428
158	180428
159	180428
160	180428
161	180428
162	180428
163	180428
164	180428
165	180428
166	180428
167	180428
168	180428
169	180428
170	180428
171	180428
172	180428
173	180428
174	180428
175	180428
176	180428
177	180428
178	180428
179	180428
180	180428
181	180428
182	180428
183	180428
184	180428
185	180428
186	180428
187	180428
188	180428
189	180428
190	180428
191	180428
192	180428
193	180428
194	180428
195	180428
196	180428
197	180428
198	180428
199	180428
200	180428
