Level	FightPower
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	2700
61	2700
62	2700
63	2700
64	2700
65	2700
66	2700
67	2700
68	2700
69	2700
70	2700
71	2700
72	2700
73	2700
74	2700
75	2700
76	2700
77	2700
78	2700
79	2700
80	7200
81	7200
82	7200
83	7200
84	7200
85	7200
86	7200
87	7200
88	7200
89	7200
90	7200
91	7200
92	7200
93	7200
94	7200
95	7200
96	7200
97	7200
98	7200
99	7200
100	13500
101	13500
102	13500
103	13500
104	13500
105	13500
106	13500
107	13500
108	13500
109	13500
110	13500
111	13500
112	13500
113	13500
114	13500
115	13500
116	13500
117	13500
118	13500
119	13500
120	21750
121	21750
122	21750
123	21750
124	21750
125	21750
126	21750
127	21750
128	21750
129	21750
130	21750
131	21750
132	21750
133	21750
134	21750
135	21750
136	21750
137	21750
138	21750
139	21750
140	21750
141	21750
142	21750
143	21750
144	21750
145	21750
146	21750
147	21750
148	21750
149	21750
150	21750
151	21750
152	21750
153	21750
154	21750
155	21750
156	21750
157	21750
158	21750
159	21750
160	21750
161	21750
162	21750
163	21750
164	21750
165	21750
166	21750
167	21750
168	21750
169	21750
170	21750
171	21750
172	21750
173	21750
174	21750
175	21750
176	21750
177	21750
178	21750
179	21750
180	21750
181	21750
182	21750
183	21750
184	21750
185	21750
186	21750
187	21750
188	21750
189	21750
190	21750
191	21750
192	21750
193	21750
194	21750
195	21750
196	21750
197	21750
198	21750
199	21750
200	21750
