Level	FightPower
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	5700
41	5700
42	5700
43	5700
44	5700
45	5700
46	5700
47	5700
48	5700
49	5700
50	8700
51	8700
52	8700
53	8700
54	8700
55	8700
56	8700
57	8700
58	8700
59	8700
60	12300
61	12300
62	12300
63	12300
64	12300
65	12300
66	12300
67	12300
68	12300
69	12300
70	16800
71	16800
72	16800
73	16800
74	16800
75	16800
76	16800
77	16800
78	16800
79	16800
80	22200
81	22200
82	22200
83	22200
84	22200
85	22200
86	22200
87	22200
88	22200
89	22200
90	28200
91	28200
92	28200
93	28200
94	28200
95	28200
96	28200
97	28200
98	28200
99	28200
100	35100
101	35100
102	35100
103	35100
104	35100
105	35100
106	35100
107	35100
108	35100
109	35100
110	42900
111	42900
112	42900
113	42900
114	42900
115	42900
116	42900
117	42900
118	42900
119	42900
120	51300
121	51300
122	51300
123	51300
124	51300
125	51300
126	51300
127	51300
128	51300
129	51300
130	51300
131	51300
132	51300
133	51300
134	51300
135	51300
136	51300
137	51300
138	51300
139	51300
140	51300
141	51300
142	51300
143	51300
144	51300
145	51300
146	51300
147	51300
148	51300
149	51300
150	51300
151	51300
152	51300
153	51300
154	51300
155	51300
156	51300
157	51300
158	51300
159	51300
160	51300
161	51300
162	51300
163	51300
164	51300
165	51300
166	51300
167	51300
168	51300
169	51300
170	51300
171	51300
172	51300
173	51300
174	51300
175	51300
176	51300
177	51300
178	51300
179	51300
180	51300
181	51300
182	51300
183	51300
184	51300
185	51300
186	51300
187	51300
188	51300
189	51300
190	51300
191	51300
192	51300
193	51300
194	51300
195	51300
196	51300
197	51300
198	51300
199	51300
200	51300
