Level	FightPower
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	2500
71	2500
72	2500
73	2500
74	2500
75	2500
76	2500
77	2500
78	2500
79	2500
80	7000
81	7000
82	7000
83	7000
84	7000
85	7000
86	7000
87	7000
88	7000
89	7000
90	11500
91	11500
92	11500
93	11500
94	11500
95	11500
96	11500
97	11500
98	11500
99	11500
100	16000
101	16000
102	16000
103	16000
104	16000
105	16000
106	16000
107	16000
108	16000
109	16000
110	20500
111	20500
112	20500
113	20500
114	20500
115	20500
116	20500
117	20500
118	20500
119	20500
120	34375
121	34375
122	34375
123	34375
124	34375
125	34375
126	34375
127	34375
128	34375
129	34375
130	34375
131	34375
132	34375
133	34375
134	34375
135	34375
136	34375
137	34375
138	34375
139	34375
140	34375
141	34375
142	34375
143	34375
144	34375
145	34375
146	34375
147	34375
148	34375
149	34375
150	34375
151	34375
152	34375
153	34375
154	34375
155	34375
156	34375
157	34375
158	34375
159	34375
160	34375
161	34375
162	34375
163	34375
164	34375
165	34375
166	34375
167	34375
168	34375
169	34375
170	34375
171	34375
172	34375
173	34375
174	34375
175	34375
176	34375
177	34375
178	34375
179	34375
180	34375
181	34375
182	34375
183	34375
184	34375
185	34375
186	34375
187	34375
188	34375
189	34375
190	34375
191	34375
192	34375
193	34375
194	34375
195	34375
196	34375
197	34375
198	34375
199	34375
200	34375
