Level	FightPower
1	6750
2	6750
3	6750
4	6750
5	6750
6	6750
7	6750
8	6750
9	6750
10	6750
11	6750
12	6750
13	6750
14	6750
15	6750
16	6750
17	6750
18	6750
19	6750
20	6750
21	6750
22	6750
23	6750
24	6750
25	6750
26	6750
27	6750
28	6750
29	6750
30	6750
31	6750
32	6750
33	6750
34	6750
35	6750
36	6750
37	6750
38	6750
39	6750
40	6750
41	6750
42	6750
43	6750
44	6750
45	6750
46	6750
47	6750
48	6750
49	6750
50	6750
51	6750
52	6750
53	6750
54	6750
55	6750
56	6750
57	6750
58	6750
59	6750
60	6750
61	6750
62	6750
63	6750
64	6750
65	6750
66	6750
67	6750
68	6750
69	6750
70	6750
71	6750
72	6750
73	6750
74	6750
75	6750
76	6750
77	6750
78	6750
79	6750
80	6750
81	6750
82	6750
83	6750
84	6750
85	6750
86	6750
87	6750
88	6750
89	6750
90	6750
91	6750
92	6750
93	6750
94	6750
95	6750
96	6750
97	6750
98	6750
99	6750
100	6750
101	6750
102	6750
103	6750
104	6750
105	6750
106	6750
107	6750
108	6750
109	6750
110	6750
111	6750
112	6750
113	6750
114	6750
115	6750
116	6750
117	6750
118	6750
119	6750
120	13500
121	13500
122	13500
123	13500
124	13500
125	13500
126	13500
127	13500
128	13500
129	13500
130	20250
131	20250
132	20250
133	20250
134	20250
135	20250
136	20250
137	20250
138	20250
139	20250
140	27000
141	27000
142	27000
143	27000
144	27000
145	27000
146	27000
147	27000
148	27000
149	27000
150	33750
151	33750
152	33750
153	33750
154	33750
155	33750
156	33750
157	33750
158	33750
159	33750
160	40500
161	40500
162	40500
163	40500
164	40500
165	40500
166	40500
167	40500
168	40500
169	40500
170	47250
171	47250
172	47250
173	47250
174	47250
175	47250
176	47250
177	47250
178	47250
179	47250
180	54000
181	54000
182	54000
183	54000
184	54000
185	54000
186	54000
187	54000
188	54000
189	54000
190	60750
191	60750
192	60750
193	60750
194	60750
195	60750
196	60750
197	60750
198	60750
199	60750
200	60750
