Level	FightPower
1	7560
2	7560
3	7560
4	7560
5	7560
6	7560
7	7560
8	7560
9	7560
10	7560
11	7560
12	7560
13	7560
14	7560
15	7560
16	7560
17	7560
18	7560
19	7560
20	7560
21	7560
22	7560
23	7560
24	7560
25	7560
26	7560
27	7560
28	7560
29	7560
30	7560
31	7560
32	7560
33	7560
34	7560
35	7560
36	7560
37	7560
38	7560
39	7560
40	7560
41	7560
42	7560
43	7560
44	7560
45	7560
46	7560
47	7560
48	7560
49	7560
50	7560
51	7560
52	7560
53	7560
54	7560
55	7560
56	7560
57	7560
58	7560
59	7560
60	7560
61	7560
62	7560
63	7560
64	7560
65	7560
66	7560
67	7560
68	7560
69	7560
70	7560
71	7560
72	7560
73	7560
74	7560
75	7560
76	7560
77	7560
78	7560
79	7560
80	7560
81	7560
82	7560
83	7560
84	7560
85	7560
86	7560
87	7560
88	7560
89	7560
90	7560
91	7560
92	7560
93	7560
94	7560
95	7560
96	7560
97	7560
98	7560
99	7560
100	7560
101	7560
102	7560
103	7560
104	7560
105	7560
106	7560
107	7560
108	7560
109	7560
110	7560
111	7560
112	7560
113	7560
114	7560
115	7560
116	7560
117	7560
118	7560
119	7560
120	15120
121	15120
122	15120
123	15120
124	15120
125	15120
126	15120
127	15120
128	15120
129	15120
130	22680
131	22680
132	22680
133	22680
134	22680
135	22680
136	22680
137	22680
138	22680
139	22680
140	30240
141	30240
142	30240
143	30240
144	30240
145	30240
146	30240
147	30240
148	30240
149	30240
150	37800
151	37800
152	37800
153	37800
154	37800
155	37800
156	37800
157	37800
158	37800
159	37800
160	45360
161	45360
162	45360
163	45360
164	45360
165	45360
166	45360
167	45360
168	45360
169	45360
170	52920
171	52920
172	52920
173	52920
174	52920
175	52920
176	52920
177	52920
178	52920
179	52920
180	60480
181	60480
182	60480
183	60480
184	60480
185	60480
186	60480
187	60480
188	60480
189	60480
190	60480
191	60480
192	60480
193	60480
194	60480
195	60480
196	60480
197	60480
198	60480
199	60480
200	60480
