Level	FightPower
1	21560
2	21560
3	21560
4	21560
5	21560
6	21560
7	21560
8	21560
9	21560
10	21560
11	21560
12	21560
13	21560
14	21560
15	21560
16	21560
17	21560
18	21560
19	21560
20	21560
21	21560
22	21560
23	21560
24	21560
25	21560
26	21560
27	21560
28	21560
29	21560
30	21560
31	21560
32	21560
33	21560
34	21560
35	21560
36	21560
37	21560
38	21560
39	21560
40	46875
41	46875
42	46875
43	46875
44	46875
45	46875
46	46875
47	46875
48	46875
49	46875
50	68300
51	68300
52	68300
53	68300
54	68300
55	68300
56	68300
57	68300
58	68300
59	68300
60	94060
61	94060
62	94060
63	94060
64	94060
65	94060
66	94060
67	94060
68	94060
69	94060
70	121860
71	121860
72	121860
73	121860
74	121860
75	121860
76	121860
77	121860
78	121860
79	121860
80	160040
81	160040
82	160040
83	160040
84	160040
85	160040
86	160040
87	160040
88	160040
89	160040
90	215840
91	215840
92	215840
93	215840
94	215840
95	215840
96	215840
97	215840
98	215840
99	215840
100	276840
101	276840
102	276840
103	276840
104	276840
105	276840
106	276840
107	276840
108	276840
109	276840
110	331420
111	331420
112	331420
113	331420
114	331420
115	331420
116	331420
117	331420
118	331420
119	331420
120	376092
121	376092
122	376092
123	376092
124	376092
125	376092
126	376092
127	376092
128	376092
129	376092
130	376092
131	376092
132	376092
133	376092
134	376092
135	376092
136	376092
137	376092
138	376092
139	376092
140	376092
141	376092
142	376092
143	376092
144	376092
145	376092
146	376092
147	376092
148	376092
149	376092
150	376092
151	376092
152	376092
153	376092
154	376092
155	376092
156	376092
157	376092
158	376092
159	376092
160	376092
161	376092
162	376092
163	376092
164	376092
165	376092
166	376092
167	376092
168	376092
169	376092
170	376092
171	376092
172	376092
173	376092
174	376092
175	376092
176	376092
177	376092
178	376092
179	376092
180	376092
181	376092
182	376092
183	376092
184	376092
185	376092
186	376092
187	376092
188	376092
189	376092
190	376092
191	376092
192	376092
193	376092
194	376092
195	376092
196	376092
197	376092
198	376092
199	376092
200	376092
