Level	FightPower
1	300
2	300
3	300
4	300
5	300
6	300
7	300
8	300
9	300
10	300
11	300
12	300
13	300
14	300
15	300
16	300
17	300
18	300
19	300
20	300
21	300
22	300
23	300
24	300
25	300
26	300
27	300
28	300
29	300
30	300
31	300
32	300
33	300
34	300
35	300
36	300
37	300
38	300
39	300
40	800
41	800
42	800
43	800
44	800
45	800
46	800
47	800
48	800
49	800
50	1200
51	1200
52	1200
53	1200
54	1200
55	1200
56	1200
57	1200
58	1200
59	1200
60	2000
61	2000
62	2000
63	2000
64	2000
65	2000
66	2000
67	2000
68	2000
69	2000
70	12000
71	12000
72	12000
73	12000
74	12000
75	12000
76	12000
77	12000
78	12000
79	12000
80	14400
81	14400
82	14400
83	14400
84	14400
85	14400
86	14400
87	14400
88	14400
89	14400
90	38400
91	38400
92	38400
93	38400
94	38400
95	38400
96	38400
97	38400
98	38400
99	38400
100	44800
101	44800
102	44800
103	44800
104	44800
105	44800
106	44800
107	44800
108	44800
109	44800
110	51200
111	51200
112	51200
113	51200
114	51200
115	51200
116	51200
117	51200
118	51200
119	51200
120	60480
121	60480
122	60480
123	60480
124	60480
125	60480
126	60480
127	60480
128	60480
129	60480
130	60480
131	60480
132	60480
133	60480
134	60480
135	60480
136	60480
137	60480
138	60480
139	60480
140	60480
141	60480
142	60480
143	60480
144	60480
145	60480
146	60480
147	60480
148	60480
149	60480
150	60480
151	60480
152	60480
153	60480
154	60480
155	60480
156	60480
157	60480
158	60480
159	60480
160	60480
161	60480
162	60480
163	60480
164	60480
165	60480
166	60480
167	60480
168	60480
169	60480
170	60480
171	60480
172	60480
173	60480
174	60480
175	60480
176	60480
177	60480
178	60480
179	60480
180	60480
181	60480
182	60480
183	60480
184	60480
185	60480
186	60480
187	60480
188	60480
189	60480
190	60480
191	60480
192	60480
193	60480
194	60480
195	60480
196	60480
197	60480
198	60480
199	60480
200	60480
