Level	FightPower
1	7200
2	7200
3	7200
4	7200
5	7200
6	7200
7	7200
8	7200
9	7200
10	7200
11	7200
12	7200
13	7200
14	7200
15	7200
16	7200
17	7200
18	7200
19	7200
20	7200
21	7200
22	7200
23	7200
24	7200
25	7200
26	7200
27	7200
28	7200
29	7200
30	7200
31	7200
32	7200
33	7200
34	7200
35	7200
36	7200
37	7200
38	7200
39	7200
40	7200
41	7200
42	7200
43	7200
44	7200
45	7200
46	7200
47	7200
48	7200
49	7200
50	7200
51	7200
52	7200
53	7200
54	7200
55	7200
56	7200
57	7200
58	7200
59	7200
60	7200
61	7200
62	7200
63	7200
64	7200
65	7200
66	7200
67	7200
68	7200
69	7200
70	7200
71	7200
72	7200
73	7200
74	7200
75	7200
76	7200
77	7200
78	7200
79	7200
80	7200
81	7200
82	7200
83	7200
84	7200
85	7200
86	7200
87	7200
88	7200
89	7200
90	7200
91	7200
92	7200
93	7200
94	7200
95	7200
96	7200
97	7200
98	7200
99	7200
100	15600
101	15600
102	15600
103	15600
104	15600
105	15600
106	15600
107	15600
108	15600
109	15600
110	25200
111	25200
112	25200
113	25200
114	25200
115	25200
116	25200
117	25200
118	25200
119	25200
120	37200
121	37200
122	37200
123	37200
124	37200
125	37200
126	37200
127	37200
128	37200
129	37200
130	50400
131	50400
132	50400
133	50400
134	50400
135	50400
136	50400
137	50400
138	50400
139	50400
140	66000
141	66000
142	66000
143	66000
144	66000
145	66000
146	66000
147	66000
148	66000
149	66000
150	85200
151	85200
152	85200
153	85200
154	85200
155	85200
156	85200
157	85200
158	85200
159	85200
160	104400
161	104400
162	104400
163	104400
164	104400
165	104400
166	104400
167	104400
168	104400
169	104400
170	123600
171	123600
172	123600
173	123600
174	123600
175	123600
176	123600
177	123600
178	123600
179	123600
180	142800
181	142800
182	142800
183	142800
184	142800
185	142800
186	142800
187	142800
188	142800
189	142800
190	162000
191	162000
192	162000
193	162000
194	162000
195	162000
196	162000
197	162000
198	162000
199	162000
200	162000
