Level	FightPower
1	1783
2	1783
3	1783
4	1783
5	1783
6	1783
7	1783
8	1783
9	1783
10	1783
11	1783
12	1783
13	1783
14	1783
15	1783
16	1783
17	1783
18	1783
19	1783
20	1783
21	1783
22	1783
23	1783
24	1783
25	1783
26	1783
27	1783
28	1783
29	1783
30	1783
31	1783
32	1783
33	1783
34	1783
35	1783
36	1783
37	1783
38	1783
39	1783
40	3567
41	3567
42	3567
43	3567
44	3567
45	3567
46	3567
47	3567
48	3567
49	3567
50	5350
51	5350
52	5350
53	5350
54	5350
55	5350
56	5350
57	5350
58	5350
59	5350
60	7133
61	7133
62	7133
63	7133
64	7133
65	7133
66	7133
67	7133
68	7133
69	7133
70	8916
71	8916
72	8916
73	8916
74	8916
75	8916
76	8916
77	8916
78	8916
79	8916
80	10700
81	10700
82	10700
83	10700
84	10700
85	10700
86	10700
87	10700
88	10700
89	10700
90	12483
91	12483
92	12483
93	12483
94	12483
95	12483
96	12483
97	12483
98	12483
99	12483
100	14266
101	14266
102	14266
103	14266
104	14266
105	14266
106	14266
107	14266
108	14266
109	14266
110	16049
111	16049
112	16049
113	16049
114	16049
115	16049
116	16049
117	17086
118	17086
119	17086
120	17086
121	17086
122	17086
123	17086
124	17086
125	17086
126	17086
127	17086
128	17086
129	17086
130	17086
131	17086
132	17086
133	17086
134	17086
135	17086
136	17086
137	17086
138	17086
139	17086
140	17086
141	17086
142	17086
143	17086
144	17086
145	17086
146	17086
147	17086
148	17086
149	17086
150	17086
151	17086
152	17086
153	17086
154	17086
155	17086
156	17086
157	17086
158	17086
159	17086
160	17086
161	17086
162	17086
163	17086
164	17086
165	17086
166	17086
167	17086
168	17086
169	17086
170	17086
171	17086
172	17086
173	17086
174	17086
175	17086
176	17086
177	17086
178	17086
179	17086
180	17086
181	17086
182	17086
183	17086
184	17086
185	17086
186	17086
187	17086
188	17086
189	17086
190	17086
191	17086
192	17086
193	17086
194	17086
195	17086
196	17086
197	17086
198	17086
199	17086
200	17086
