Level	FightPower
1	52800
2	52800
3	52800
4	52800
5	52800
6	52800
7	52800
8	52800
9	52800
10	52800
11	52800
12	52800
13	52800
14	52800
15	52800
16	52800
17	52800
18	52800
19	52800
20	52800
21	52800
22	52800
23	52800
24	52800
25	52800
26	52800
27	52800
28	52800
29	52800
30	52800
31	52800
32	52800
33	52800
34	52800
35	52800
36	52800
37	52800
38	52800
39	52800
40	52800
41	52800
42	52800
43	52800
44	52800
45	52800
46	52800
47	52800
48	52800
49	52800
50	52800
51	52800
52	52800
53	52800
54	52800
55	52800
56	52800
57	52800
58	52800
59	52800
60	52800
61	52800
62	52800
63	52800
64	52800
65	52800
66	52800
67	52800
68	52800
69	52800
70	52800
71	52800
72	52800
73	52800
74	52800
75	52800
76	52800
77	52800
78	52800
79	52800
80	52800
81	52800
82	52800
83	52800
84	52800
85	52800
86	52800
87	52800
88	52800
89	52800
90	52800
91	52800
92	52800
93	52800
94	52800
95	52800
96	52800
97	52800
98	52800
99	52800
100	52800
101	52800
102	52800
103	52800
104	52800
105	52800
106	52800
107	52800
108	52800
109	52800
110	52800
111	52800
112	52800
113	52800
114	52800
115	52800
116	52800
117	52800
118	52800
119	52800
120	52800
121	52800
122	52800
123	52800
124	52800
125	52800
126	52800
127	52800
128	52800
129	52800
130	52800
131	52800
132	52800
133	52800
134	52800
135	52800
136	52800
137	52800
138	52800
139	52800
140	105600
141	105600
142	105600
143	105600
144	105600
145	105600
146	105600
147	105600
148	105600
149	105600
150	105600
151	105600
152	105600
153	105600
154	105600
155	105600
156	105600
157	105600
158	105600
159	105600
160	158400
161	158400
162	158400
163	158400
164	158400
165	158400
166	158400
167	158400
168	158400
169	158400
170	158400
171	158400
172	158400
173	158400
174	158400
175	158400
176	158400
177	158400
178	158400
179	158400
180	211200
181	211200
182	211200
183	211200
184	211200
185	211200
186	211200
187	211200
188	211200
189	211200
190	211200
191	211200
192	211200
193	211200
194	211200
195	211200
196	211200
197	211200
198	211200
199	211200
200	211200
