Level	FightPower
1	35246
2	35246
3	35246
4	35246
5	35246
6	35246
7	35246
8	35246
9	35246
10	35246
11	35246
12	35246
13	35246
14	35246
15	35246
16	35246
17	35246
18	35246
19	35246
20	35246
21	35246
22	35246
23	35246
24	35246
25	35246
26	35246
27	35246
28	35246
29	35246
30	35246
31	35246
32	35246
33	35246
34	35246
35	35246
36	35246
37	35246
38	35246
39	35246
40	95033
41	95033
42	95033
43	95033
44	95033
45	95033
46	95033
47	95033
48	95033
49	95033
50	230060
51	230060
52	230060
53	230060
54	230060
55	230060
56	230060
57	230060
58	230060
59	230060
60	344596
61	344596
62	344596
63	344596
64	344596
65	344596
66	344596
67	344596
68	344596
69	344596
70	592597
71	592597
72	592597
73	592597
74	592597
75	592597
76	592597
77	592597
78	592597
79	592597
80	880358
81	880358
82	880358
83	880358
84	880358
85	880358
86	880358
87	880358
88	880358
89	880358
90	1282940
91	1282940
92	1282940
93	1282940
94	1282940
95	1282940
96	1282940
97	1282940
98	1282940
99	1282940
100	1786868
101	1786868
102	1786868
103	1786868
104	1786868
105	1786868
106	1786868
107	1786868
108	1786868
109	1786868
110	2082524
111	2082524
112	2082524
113	2082524
114	2082524
115	2082524
116	2082524
117	2082524
118	2082524
119	2082524
120	2590103
121	2590103
122	2590103
123	2590103
124	2590103
125	2590103
126	2590103
127	2590103
128	2590103
129	2590103
130	2857639
131	2857639
132	2857639
133	2857639
134	2857639
135	2857639
136	2857639
137	2857639
138	2857639
139	2857639
140	3400600
141	3400600
142	3400600
143	3400600
144	3400600
145	3400600
146	3400600
147	3400600
148	3400600
149	3400600
150	3637785
151	3637785
152	3637785
153	3637785
154	3637785
155	3637785
156	3637785
157	3637785
158	3637785
159	3637785
160	4227232
161	4227232
162	4227232
163	4227232
164	4227232
165	4227232
166	4227232
167	4227232
168	4227232
169	4227232
170	4448316
171	4448316
172	4448316
173	4448316
174	4448316
175	4448316
176	4448316
177	4448316
178	4448316
179	4448316
180	5010868
181	5010868
182	5010868
183	5010868
184	5010868
185	5010868
186	5010868
187	5010868
188	5010868
189	5010868
190	5310384
191	5310384
192	5310384
193	5310384
194	5310384
195	5310384
196	5310384
197	5310384
198	5310384
199	5310384
200	5310384
