Level	FightPower
1	23000
2	23000
3	23000
4	23000
5	23000
6	23000
7	23000
8	23000
9	23000
10	23000
11	23000
12	23000
13	23000
14	23000
15	23000
16	23000
17	23000
18	23000
19	23000
20	23000
21	23000
22	23000
23	23000
24	23000
25	23000
26	23000
27	23000
28	23000
29	23000
30	23000
31	23000
32	23000
33	23000
34	23000
35	23000
36	23000
37	23000
38	23000
39	23000
40	23000
41	23000
42	23000
43	23000
44	23000
45	23000
46	23000
47	23000
48	23000
49	23000
50	23000
51	23000
52	23000
53	23000
54	23000
55	23000
56	23000
57	23000
58	23000
59	23000
60	23000
61	23000
62	23000
63	23000
64	23000
65	23000
66	23000
67	23000
68	23000
69	23000
70	23000
71	23000
72	23000
73	23000
74	23000
75	23000
76	23000
77	23000
78	23000
79	23000
80	23000
81	23000
82	23000
83	23000
84	23000
85	23000
86	23000
87	23000
88	23000
89	23000
90	23000
91	23000
92	23000
93	23000
94	23000
95	23000
96	23000
97	23000
98	23000
99	23000
100	27350
101	27350
102	27350
103	27350
104	27350
105	27350
106	27350
107	27350
108	27350
109	27350
110	27350
111	27350
112	27350
113	27350
114	27350
115	27350
116	27350
117	27350
118	27350
119	27350
120	57350
121	57350
122	57350
123	57350
124	57350
125	57350
126	57350
127	57350
128	57350
129	57350
130	111125
131	111125
132	111125
133	111125
134	111125
135	111125
136	111125
137	111125
138	111125
139	111125
140	111125
141	111125
142	111125
143	111125
144	111125
145	111125
146	111125
147	111125
148	111125
149	111125
150	190850
151	190850
152	190850
153	190850
154	190850
155	190850
156	190850
157	190850
158	190850
159	190850
160	190850
161	190850
162	190850
163	190850
164	190850
165	190850
166	190850
167	190850
168	190850
169	190850
170	190850
171	190850
172	190850
173	190850
174	190850
175	190850
176	190850
177	190850
178	190850
179	190850
180	190850
181	190850
182	190850
183	190850
184	190850
185	190850
186	190850
187	190850
188	190850
189	190850
190	190850
191	190850
192	190850
193	190850
194	190850
195	190850
196	190850
197	190850
198	190850
199	190850
200	190850
