Level	FightPower
1	24044
2	24044
3	24044
4	24044
5	24044
6	24044
7	24044
8	24044
9	24044
10	24044
11	24044
12	24044
13	24044
14	24044
15	24044
16	24044
17	24044
18	24044
19	24044
20	24044
21	24044
22	24044
23	24044
24	24044
25	24044
26	24044
27	24044
28	24044
29	24044
30	24044
31	24044
32	24044
33	24044
34	24044
35	24044
36	24044
37	24044
38	24044
39	24044
40	24044
41	24044
42	24044
43	24044
44	24044
45	24044
46	24044
47	24044
48	24044
49	24044
50	24044
51	24044
52	24044
53	24044
54	24044
55	24044
56	24044
57	24044
58	24044
59	24044
60	24044
61	24044
62	24044
63	24044
64	24044
65	24044
66	24044
67	24044
68	24044
69	24044
70	24044
71	24044
72	24044
73	24044
74	24044
75	24044
76	24044
77	24044
78	24044
79	24044
80	24044
81	24044
82	24044
83	24044
84	24044
85	24044
86	24044
87	24044
88	24044
89	24044
90	24044
91	24044
92	24044
93	24044
94	24044
95	24044
96	24044
97	24044
98	24044
99	24044
100	41285
101	41285
102	41285
103	41285
104	41285
105	41285
106	41285
107	41285
108	41285
109	41285
110	61488
111	61488
112	61488
113	61488
114	61488
115	61488
116	61488
117	61488
118	61488
119	61488
120	89663
121	89663
122	89663
123	89663
124	89663
125	89663
126	89663
127	89663
128	89663
129	89663
130	113626
131	113626
132	113626
133	113626
134	113626
135	113626
136	113626
137	113626
138	113626
139	113626
140	143228
141	143228
142	143228
143	143228
144	143228
145	143228
146	143228
147	143228
148	143228
149	143228
150	179745
151	179745
152	179745
153	179745
154	179745
155	179745
156	179745
157	179745
158	179745
159	179745
160	210457
161	210457
162	210457
163	210457
164	210457
165	210457
166	210457
167	210457
168	210457
169	210457
170	243213
171	243213
172	243213
173	243213
174	243213
175	243213
176	243213
177	243213
178	243213
179	243213
180	286019
181	286019
182	286019
183	286019
184	286019
185	286019
186	286019
187	286019
188	286019
189	286019
190	320884
191	320884
192	320884
193	320884
194	320884
195	320884
196	320884
197	320884
198	320884
199	320884
200	320884
