SystemId	szName	Name	Data	TimeFrame	LevelLimit	Action	RecommendTab
1	szEquipBase	<i18n=3551>	nEquipFightPower		25	Stronger:OpenEquipBaseWnd()	Setting/Stronger/RecommendEquipFP.tab
1	szEquipEnhance	<i18n=11564>	nEquipEnhanceFightPower		25	Stronger:OpenEnhance()	Setting/Stronger/RecommendEquipQH.tab
1	szEquipStone	<i18n=6016>	nStoneFightPower		25	Stronger:OpenInsect()	Setting/Stronger/RecommendEquipXQ.tab
1	szEquipForge	<i18n=4358>	nEquipForgeFightPower		25	Stronger:OpenBag()	Setting/Stronger/RecommendEquipXL.tab
1	szEquipJingZhu	<i18n=1067>	nEquipJingZhuFightPower	OpenLevel49	25	Stronger:OpenJingZhu()	Setting/Stronger/RecommendEquipJZ.tab
1	szEquipLianHua	<i18n=16050>	nEquipLianHuaFightPower	OpenLevel59	50	Stronger:OpenLianHua()	Setting/Stronger/RecommendEquipLH.tab
1	szWuXingYinLevel	<i18n=444>	nWuXingYinLevelFightPower		30	Stronger:OpenWuXing(1)	Setting/Stronger/RecommendEquipSJ.tab
1	szWuXingYinGrade	<i18n=2922>	nWuXingYinGradeFightPower	OpenLevel59	40	Stronger:OpenWuXing(2)	Setting/Stronger/RecommendEquipJJ.tab
1	szEquipQiHun	<i18n=器魂>	nQiHunFightPower		25	Stronger:OpenQiHun()	Setting/Stronger/RecommendEquipQiH.tab
1	szHonorLevel	<i18n=头衔>	nHonorLevelFightPower		25	Stronger:OpenHonorLevel()	Setting/Stronger/RecommendEquipTX.tab
2	szHorseGrade	<i18n=7326>	nHorseGradeFightPower	OpenLevel69	25	Stronger:OpenHorseDengJie()	Setting/Stronger/RecommendHorseFP.tab
2	szHorseLevel	<i18n=11960>	nHorseLevelFightPower	OpenLevel49	25	Stronger:OpenHorseXunYang()	Setting/Stronger/RecommendHorseXY.tab
2	szHorseEquip	<i18n=13254>	nHorseEquipFightPower	OpenLevel79	50	Stronger:OpenHorseEquip()	Setting/Stronger/RecommendHorseZB.tab
3	szSkillPoint	<i18n=技能点>	nSkillFightPower		25	Stronger:OpenSkill()	Setting/Stronger/RecommendSkillFP.tab
3	szMiJi	<i18n=SecretBook>	nSecretBookFightPower	OpenLevel59	40	Stronger:OpenMijiWnd()	Setting/Stronger/RecommendSkillFP.tab
4	szPartnerBase	<i18n=6000>	nPartnerBaseFightPower		25	Stronger:OpenPartner()	Setting/Stronger/RecommendPartnerFP.tab
4	szPartnerFetter	<i18n=14991>	nPartnerFetterFightPower		25	Stronger:OpenPartnerXiaYuan()	Setting/Stronger/RecommendPartnerXY.tab
4	szPartnerSkill	<i18n=3325>	nPartnerSkillFightPower		25	Stronger:OpenPartnerSkill()	Setting/Stronger/RecommendPartnerJN.tab
4	szPartnerAwake	<i18n=43136>	nPartnerJueXingFightPower	OpenLevel99	80	Stronger:OpenPartner()	Setting/Stronger/RecommendPartnerJX.tab
4	szPartnerEquip	<i18n=43883>	nPartnerEquipFightPower	OpenLevel129	110	Stronger:OpenPartnerEquip()	Setting/Stronger/RecommendPartnerZB.tab
5	szZhenFaBase	<i18n=24723>	nZhenFaFightPower	OpenLevel89	70	Stronger:OpenZhenFaBase()	Setting/Stronger/RecommendZhenFaJC.tab
6	szZhenYuanBase	<i18n=29413>	nZhenYuanFightPower	OpenLevel99	80	Stronger:OpenZhenYuanBase()	Setting/Stronger/RecommendZhenYuanJC.tab
7	szJingMaiXueWei	<i18n=46179>	nJingMaiXueWeiFightPower	OpenLevel119	100	Stronger:OpenJingMaiXueWei()	Setting/Stronger/RecommendJingMaiXW.tab
7	szJingMaiZhouTian	<i18n=46186>	nJingMaiZhouTianFightPower	OpenLevel119	100	Stronger:OpenJingMaiXueWei()	Setting/Stronger/RecommendJingMaiZT.tab
