nIndex	nTemplateId	nPrevValue	nNextValue	nAwardId	nAwardKey
1	31493	5	5	1001	220
2	31493	6	7	1001	220
3	31493	8	9	1001	220
4	31494	5	5	1001	220
5	31494	6	7	1001	220
6	31494	8	9	1001	220
7	31495	5	5	1001	220
8	31495	6	7	1001	220
9	31495	8	9	1001	220
10	30939	5	5	1001	226
11	30939	6	7	1001	227
12	30939	8	9	1001	228
13	30940	5	5	1001	226
14	30940	6	7	1001	227
15	30940	8	9	1001	228
16	30941	5	5	1001	226
17	30941	6	7	1001	227
18	30941	8	9	1001	228
19	30942	5	5	1001	229
20	30942	6	7	1001	230
21	30942	8	9	1001	231
22	30943	5	5	1001	232
23	30943	6	7	1001	233
24	30943	8	9	1001	234
25	30944	5	5	1001	235
26	30944	6	7	1001	236
27	30944	8	9	1001	237
28	30945	5	5	1001	238
29	30945	6	7	1001	239
30	30945	8	9	1001	240
31	30946	5	5	1001	241
32	30946	6	7	1001	242
33	30946	8	9	1001	243
34	30947	5	5	1001	244
35	30947	6	7	1001	245
36	30947	8	9	1001	246
37	30948	5	5	1001	247
38	30948	6	7	1001	248
39	30948	8	9	1001	249
40	30949	5	5	1001	250
41	30949	6	7	1001	251
42	30949	8	9	1001	252
43	30950	5	5	1001	921
44	30950	6	7	1001	922
45	30950	8	9	1001	923
46	30951	5	5	1001	921
47	30951	6	7	1001	922
48	30951	8	9	1001	923
49	30952	5	5	1001	921
50	30952	6	7	1001	922
51	30952	8	9	1001	923
52	30953	5	5	1001	924
53	30953	6	7	1001	925
54	30953	8	9	1001	926
55	30954	5	5	1001	924
56	30954	6	7	1001	925
57	30954	8	9	1001	926
58	30955	5	5	1001	924
59	30955	6	7	1001	925
60	30955	8	9	1001	926
61	30956	5	5	1001	927
62	30956	6	7	1001	928
63	30956	8	9	1001	929
64	30957	5	5	1001	927
65	30957	6	7	1001	928
66	30957	8	9	1001	929
67	30958	5	5	1001	927
68	30958	6	7	1001	928
69	30958	8	9	1001	929
70	20380	5	5	1001	256
71	20380	6	7	1001	257
72	20380	8	9	1001	258
73	20382	5	5	1001	253
74	20382	6	7	1001	254
75	20382	8	9	1001	255
