nTaskId	szTaskName	szDesc	nStepNum	nNextTaskId	szAward	szCondition	szTrigger
10001	<i18n=11564>	<i18n=4603>	3	0	Exp|200000		level|8
10002	<i18n=加入家族>	<i18n=3534>	2	0	Exp|200000		level|12
10003	<i18n=6016>	<i18n=12314>	3	0	Exp|300000		level|22
10004	<i18n=1067>	<i18n=2776>	3	0	Exp|300000	timeFrame|OpenDay2B	level|25
10005	<i18n=13940>	<i18n=8171>	2	0	Exp|200000		level|20
10006	<i18n=9377>	<i18n=7680>	2	0	Exp|200000		level|20
10008	<i18n=4358>	<i18n=15686>	3	0	Exp|200000		level|13
10009	<i18n=11205>	<i18n=13220>	2	0	Exp|300000		level|30
10010	<i18n=1246>	<i18n=4491>	3	0	Exp|300000		level|29
10011	<i18n=4122>	<i18n=14561>	2	0	Exp|300000		level|25
10012	<i18n=10990>	<i18n=13901>	3	0	Exp|200000		level|21
10013	<i18n=8086>	<i18n=8086>	2	0	Exp|300000		level|26
10014	<i18n=2784>	<i18n=4332>	2	0	Exp|300000		level|23
10015	<i18n=10538>	<i18n=10538>	3	0	Exp|300000		level|25
10016	<i18n=1363>	<i18n=13556>	2	0	Exp|300000		level|29
10017	<i18n=9795>	<i18n=2872>	2	0	Exp|300000		level|28
10018	<i18n=宋金战场>	<i18n=11528>	2	0	Exp|300000		level|22
10019	<i18n=13455>	<i18n=3615>	3	0	Exp|200000		level|14
10020	<i18n=10230>	<i18n=8533>	4	0	Exp|200000		level|18
10021	<i18n=4679>	<i18n=9850>	3	0	Exp|300000		level|30
10022	<i18n=16147>	<i18n=752>	2	0	Exp|200000		level|16
10023	<i18n=12664>	<i18n=265>	2	0	Exp|300000		level|23
10024	<i18n=14065>	<i18n=6315>	2	0	Exp|300000		level|25
10025	<i18n=1589>	<i18n=3480>	2	0	Exp|200000		level|21
10026	<i18n=13254>	<i18n=16286>	1	0	Exp|200000;Item|260001|1;Item|270001|1;Item|280001|1;Item|290001|1;Item|300001|1	timeFrame|OpenLevel79	level|50
10027	<i18n=4052>	<i18n=16375>	3	0	Exp|200000;Item|518|1		level|11
10028	<i18n=9327>	<i18n=16018>	3	0	Exp|300000		level|40
10029	<i18n=20421>	<i18n=21971>	5	0	Exp|300000		level|25
10030	<i18n=20543>	<i18n=20553>	4	0	Exp|200000;Coin|20000;Item|209|10		level|30
10031	<i18n=20017>	<i18n=21697>	1	0	Exp|200000;Item|31568|3	timeFrame|OpenLevel79	level|50
10032	<i18n=25221>	<i18n=25209>	3	0	Exp|200000	timeFrame|OpenLevel89	level|60
10035	<i18n=43883>	<i18n=44583>	3	0	Exp|200000	timeFrame|OpenLevel129	level|120
10036	<i18n=42768>	<i18n=44784>	3	0	Exp|200000		level|40
10038	<i18n=59172>	<i18n=59173>	2	0	Exp|200000		level|200
10040	<i18n=63662>	<i18n=63234>	3	0	Exp|200000;Coin|5000	timeFrame|OpenLevel139	level|130
10042	<i18n=11395>	<i18n=69131>	1	10043	Exp|200000;Coin|5000	timeFrame|OpenLevel159	level|150
10043	<i18n=68584>	<i18n=69137>	2	0	Exp|200000;Coin|5000	timeFrame|OpenLevel159	task|10042
10044	<i18n=78450>	<i18n=80127>	3	0	Exp|200000	timeFrame|OpenLevel169	level|160
