nBuffId	nSkillId	szTimeFrame	nStartLevel	nAddLevel	nMaxLevel
19	11181	OpenLevel119	1	1	31
19	11181	OpenLevel129	2	1	32
19	11181	OpenLevel139	3	1	33
19	11181	OpenLevel149	4	1	34
19	11181	OpenLevel159	5	1	35
19	11181	OpenLevel169	6	1	36
19	11181	OpenLevel179	7	1	37
19	11181	OpenLevel189	8	1	38
19	11181	OpenLevel199	9	1	39
19	11181	OpenLevel209	10	1	40
19	11181	OpenLevel219	11	1	41
19	11181	OpenLevel229	12	1	42
19	11181	OpenLevel239	13	1	43
19	11181	OpenLevel249	14	1	44
19	11181	OpenLevel259	15	1	45
19	11181	OpenLevel269	16	1	46
19	11181	OpenLevel279	17	1	47
19	11181	OpenLevel289	18	1	48
19	11181	OpenLevel299	19	1	49
20	11182	OpenLevel119	1	1	31
20	11182	OpenLevel129	2	1	32
20	11182	OpenLevel139	3	1	33
20	11182	OpenLevel149	4	1	34
20	11182	OpenLevel159	5	1	35
20	11182	OpenLevel169	6	1	36
20	11182	OpenLevel179	7	1	37
20	11182	OpenLevel189	8	1	38
20	11182	OpenLevel199	9	1	39
20	11182	OpenLevel209	10	1	40
20	11182	OpenLevel219	11	1	41
20	11182	OpenLevel229	12	1	42
20	11182	OpenLevel239	13	1	43
20	11182	OpenLevel249	14	1	44
20	11182	OpenLevel259	15	1	45
20	11182	OpenLevel269	16	1	46
20	11182	OpenLevel279	17	1	47
20	11182	OpenLevel289	18	1	48
20	11182	OpenLevel299	19	1	49
21	11183	OpenLevel119	10	1	99
21	11183	OpenLevel129	2	1	32
21	11183	OpenLevel139	3	1	33
21	11183	OpenLevel149	4	1	34
21	11183	OpenLevel159	5	1	35
21	11183	OpenLevel169	6	1	36
21	11183	OpenLevel179	7	1	37
21	11183	OpenLevel189	8	1	38
21	11183	OpenLevel199	9	1	39
21	11183	OpenLevel209	10	1	40
21	11183	OpenLevel219	11	1	41
21	11183	OpenLevel229	12	1	42
21	11183	OpenLevel239	13	1	43
21	11183	OpenLevel249	14	1	44
21	11183	OpenLevel259	15	1	45
21	11183	OpenLevel269	16	1	46
21	11183	OpenLevel279	17	1	47
21	11183	OpenLevel289	18	1	48
21	11183	OpenLevel299	19	1	49
22	11184	OpenLevel119	10	1	99
22	11184	OpenLevel129	2	1	32
22	11184	OpenLevel139	3	1	33
22	11184	OpenLevel149	4	1	34
22	11184	OpenLevel159	5	1	35
22	11184	OpenLevel169	6	1	36
22	11184	OpenLevel179	7	1	37
22	11184	OpenLevel189	8	1	38
22	11184	OpenLevel199	9	1	39
22	11184	OpenLevel209	10	1	40
22	11184	OpenLevel219	11	1	41
22	11184	OpenLevel229	12	1	42
22	11184	OpenLevel239	13	1	43
22	11184	OpenLevel249	14	1	44
22	11184	OpenLevel259	15	1	45
22	11184	OpenLevel269	16	1	46
22	11184	OpenLevel279	17	1	47
22	11184	OpenLevel289	18	1	48
22	11184	OpenLevel299	19	1	49
23	11185	OpenLevel119	10	1	99
23	11185	OpenLevel129	2	1	32
23	11185	OpenLevel139	3	1	33
23	11185	OpenLevel149	4	1	34
23	11185	OpenLevel159	5	1	35
23	11185	OpenLevel169	6	1	36
23	11185	OpenLevel179	7	1	37
23	11185	OpenLevel189	8	1	38
23	11185	OpenLevel199	9	1	39
23	11185	OpenLevel209	10	1	40
23	11185	OpenLevel219	11	1	41
23	11185	OpenLevel229	12	1	42
23	11185	OpenLevel239	13	1	43
23	11185	OpenLevel249	14	1	44
23	11185	OpenLevel259	15	1	45
23	11185	OpenLevel269	16	1	46
23	11185	OpenLevel279	17	1	47
23	11185	OpenLevel289	18	1	48
23	11185	OpenLevel299	19	1	49
24	11186	OpenLevel119	10	1	99
24	11186	OpenLevel129	2	1	32
24	11186	OpenLevel139	3	1	33
24	11186	OpenLevel149	4	1	34
24	11186	OpenLevel159	5	1	35
24	11186	OpenLevel169	6	1	36
24	11186	OpenLevel179	7	1	37
24	11186	OpenLevel189	8	1	38
24	11186	OpenLevel199	9	1	39
24	11186	OpenLevel209	10	1	40
24	11186	OpenLevel219	11	1	41
24	11186	OpenLevel229	12	1	42
24	11186	OpenLevel239	13	1	43
24	11186	OpenLevel249	14	1	44
24	11186	OpenLevel259	15	1	45
24	11186	OpenLevel269	16	1	46
24	11186	OpenLevel279	17	1	47
