nRank	nFinalsMatch	nFinalsIndex
1	1	1
64	1	2
32	2	1
33	2	2
16	3	1
49	3	2
17	4	1
48	4	2
8	5	1
57	5	2
25	6	1
40	6	2
9	7	1
56	7	2
24	8	1
41	8	2
2	9	1
63	9	2
31	10	1
34	10	2
15	11	1
50	11	2
18	12	1
47	12	2
7	13	1
58	13	2
26	14	1
39	14	2
10	15	1
55	15	2
23	16	1
42	16	2
3	17	1
62	17	2
30	18	1
35	18	2
14	19	1
51	19	2
19	20	1
46	20	2
6	21	1
59	21	2
27	22	1
38	22	2
11	23	1
54	23	2
22	24	1
43	24	2
4	25	1
61	25	2
29	26	1
36	26	2
13	27	1
52	27	2
20	28	1
45	28	2
5	29	1
60	29	2
28	30	1
37	30	2
12	31	1
53	31	2
21	32	1
44	32	2
