nFinalsMatch	nPromotionMatch	nPromotionIndex	nFailRank
1	33	1	64
2	33	2	64
3	34	1	64
4	34	2	64
5	35	1	64
6	35	2	64
7	36	1	64
8	36	2	64
9	37	1	64
10	37	2	64
11	38	1	64
12	38	2	64
13	39	1	64
14	39	2	64
15	40	1	64
16	40	2	64
17	41	1	64
18	41	2	64
19	42	1	64
20	42	2	64
21	43	1	64
22	43	2	64
23	44	1	64
24	44	2	64
25	45	1	64
26	45	2	64
27	46	1	64
28	46	2	64
29	47	1	64
30	47	2	64
31	48	1	64
32	48	2	64
33	49	1	32
34	49	2	32
35	50	1	32
36	50	2	32
37	51	1	32
38	51	2	32
39	52	1	32
40	52	2	32
41	53	1	32
42	53	2	32
43	54	1	32
44	54	2	32
45	55	1	32
46	55	2	32
47	56	1	32
48	56	2	32
49	57	1	16
50	57	2	16
51	58	1	16
52	58	2	16
53	59	1	16
54	59	2	16
55	60	1	16
56	60	2	16
57	61	1	8
58	61	2	8
59	62	1	8
60	62	2	8
61	63	1	4
62	63	2	4
63	64	1	2
