nBatch	nSort	nNpcID	nLevel	nPath
1	1	13099	1	1
1	3	13100	1	1
1	5	13101	1	1
1	7	13102	1	1
1	9	13103	1	1
1	2	13099	1	2
1	4	13100	1	2
1	6	13101	1	2
1	8	13102	1	2
1	10	13103	1	2
2	1	13099	2	1
2	3	13100	2	1
2	5	13101	2	1
2	7	13102	2	1
2	9	13103	2	1
2	2	13099	2	2
2	4	13100	2	2
2	6	13101	2	2
2	8	13102	2	2
2	10	13103	2	2
3	1	13099	3	1
3	3	13100	3	1
3	5	13101	3	1
3	7	13102	3	1
3	9	13103	3	1
3	11	13104	3	1
3	2	13099	3	2
3	4	13100	3	2
3	6	13101	3	2
3	8	13102	3	2
3	10	13103	3	2
3	12	13104	3	2
4	1	13099	4	1
4	3	13100	4	1
4	5	13101	4	1
4	7	13102	4	1
4	9	13103	4	1
4	11	13104	4	1
4	2	13099	4	2
4	4	13100	4	2
4	6	13101	4	2
4	8	13102	4	2
4	10	13103	4	2
4	12	13104	4	2
5	1	13099	5	1
5	3	13100	5	1
5	5	13101	5	1
5	7	13102	5	1
5	9	13103	5	1
5	11	13104	5	1
5	13	13104	5	1
5	2	13099	5	2
5	4	13100	5	2
5	6	13101	5	2
5	8	13102	5	2
5	10	13103	5	2
5	12	13104	5	2
5	14	13104	5	2
6	1	13099	6	1
6	3	13100	6	1
6	5	13101	6	1
6	7	13102	6	1
6	9	13103	6	1
6	11	13104	6	1
6	13	13104	6	1
6	2	13099	6	2
6	4	13100	6	2
6	6	13101	6	2
6	8	13102	6	2
6	10	13103	6	2
6	12	13104	6	2
6	14	13104	6	2
7	1	13109	7	1
7	2	13109	7	2
