nWareId	nItemTid	szCurrency	nBasePrice	nStepPercent	nLowerPrice	nUpperPrice	szTimeFrame	nRepoPrice	szKind
1	5001	Gold	3	0.2	2	4	OpenLevel39	3	<i18n=器魂>
2	5002	Gold	6	0.2	5	7	OpenLevel39	6	<i18n=器魂>
3	5003	Gold	12	0.2	10	13	OpenLevel39	12	<i18n=器魂>
4	5004	Gold	24	0.2	20	26	OpenLevel39	24	<i18n=器魂>
5	5005	Gold	48	0.2	39	51	OpenLevel39	48	<i18n=器魂>
6	5006	Gold	96	0.2	77	101	OpenLevel39	96	<i18n=器魂>
7	5007	Gold	192	0.2	154	202	OpenLevel39	192	<i18n=器魂>
8	5008	Gold	384	0.2	308	404	OpenLevel39	383	<i18n=器魂>
9	5009	Gold	768	0.2	615	807	OpenLevel39	765	<i18n=器魂>
10	5010	Gold	1536	0.2	1230	1620	OpenLevel49	1530	<i18n=器魂>
11	5011	Gold	3072	0.2	2460	3230	OpenLevel59	3060	<i18n=器魂>
12	5012	Gold	6144	0.2	4920	6460	OpenLevel69	6120	<i18n=器魂>
13	5013	Gold	12288	0.2	9840	13000	OpenLevel79	12239	<i18n=器魂>
14	5014	Gold	24576	0.2	19700	25900	OpenLevel89	24478	<i18n=器魂>
15	5015	Gold	49152	0.2	39400	51700	OpenLevel99	48956	<i18n=器魂>
16	5016	Gold	98304	0.2	78700	103300	OpenLevel109	97911	<i18n=器魂>
17	5017	Gold	196608	0.2	157300	206500	OpenLevel109	195822	<i18n=器魂>
18	5018	Gold	393216	0.2	314600	412900	OpenLevel109	391644	<i18n=器魂>
