ColorName	nR	nG	nB	nA	Hex
WhiteTop	255	255	255	255	FFFFFF
WhiteBottom	255	255	255	255	FFFFFF
GreenTop	100	219	0	255	64DB00
GreenBottom	178	255	67	255	B2FF43
BlueTop	17	173	246	255	11ADF6
BlueBottom	30	254	251	255	1EFEFB
PurpleTop	170	98	252	255	AA62FC
PurpleBottom	220	160	255	255	DCA0FF
PinkTop	255	87	140	255	FF578C
PinkBottom	255	138	157	255	FF8A9D
OrangeTop	255	126	0	255	FF7E00
OrangeBottom	255	198	0	255	FFC600
GoldTop	255	205	0	255	FFCD00
GoldBottom	255	255	52	255	FFFF34
White	255	255	255	255	FFFFFF
Green	14	130	0	255	0E8200
Blue	17	173	246	255	11ADF6
Purple	170	98	252	255	AA62FC
Pink	255	87	140	255	FF578C
Orange	255	143	6	255	FF8F06
Gold	255	255	14	255	FFFF0E
Red	255	0	0	255	FF0000
Black	0	0	0	255	000000
PlayerName	254	241	205	255	FEF1CD
OtherPlayerName	221	236	143	255	DDEC8F
TeammateName	66	237	254	255	42EDFE
NpcName	158	253	172	255	9EFDAC
EnemyName	254	198	94	255	FEC65E
EliteName	11	172	241	255	0BACF1
LeaderName	254	113	56	255	FE7138
BossNameTop	177	7	0	255	B10700
BossNameBottom	254	96	96	255	FE6060
PlayerNameOutline	57	40	0	255	392800
NpcNameShadow	0	24	254	255	0018FE
EnemyNameShadow	0	17	121	255	001179
EliteNameShadow	0	17	121	255	001179
LeaderNameShadow	0	17	121	255	001179
BossNameShadow	46	0	49	255	2E0031
TuWLZ	255	236	131	255	FFEC83
HuoWLZ	255	164	44	255	FFA42C
ShuiWLZ	88	246	255	255	58F6FF
LeiWLZ	227	130	255	255	E382FF
FengWLZ	130	255	195	255	82FFC3
EnhanceNum	189	237	255	255	BDEDFF
Enough	10	111	50	255	0a6f32
NotEnough	185	29	29	255	b91d1d
LinkNormal	1	254	86	255	01FE56
LinkDisable	128	128	128	255	808080
Gray1	156	156	156	255	9C9C9C
Gray2	109	109	109	255	6D6D6D
WhiteNew	235	235	235	255	EBEBEB
GreenNew	25	112	29	255	19701D
BlueNew	21	96	181	255	1560B5
PurpleNew	120	18	233	255	7812E9
PinkNew	242	18	123	255	F2127B
OrangeNew	209	94	0	255	D15E00
GoldNew	255	250	14	255	FFFA0E
YellowPartnerSelect	229	214	132	255	E5D684
PinkPartnerSelect	247	99	99	255	F76363
YellowPartnerUnSelect	132	121	64	255	847940
PinkPartnerUnSelect	149	37	37	255	952525
WhitePartnerProtential	255	255	255	255	FFFFFF
WhitePartnerProtentialBg	255	255	255	103	FFFFFF
GreenPartnerProtential	37	247	126	255	25F77E
GreenPartnerProtentialBg	37	247	126	103	25F77E
BluePartnerProtential	44	205	251	255	2CCDFB
BluePartnerProtentialBg	44	205	251	103	2CCDFB
PurplePartnerProtential	198	44	249	255	C62CF9
PurplePartnerProtentialBg	198	44	249	103	C62CF9
OrangePartnerProtential	252	168	37	255	FCA825
OrangePartnerProtentialBg	252	168	37	103	FCA825
BlackGreen	12	58	61	255	0c3a3d
RiceWhite	255	250	230	255	fffae6
Yellow	197	181	5	255	c5b505
NewGreen	84	171	77	255	54ab4d
NewRed	197	5	5	255	c50505
Gray	147	147	146	255	939392
NewBlue	5	127	197	255	057fc5
NewPurple	179	38	252	255	b326fc
NewOrange	197	109	5	255	c56d05
NewGold	197	181	5	255	c5b505
NewPink	197	5	172	255	c505ac
BlueGray	107	135	144	255	6b8790
BrightYellow	248	245	25	255	F8F519
BrightGreen	39	248	25	255	27F819
RiceYellow	243	207	62	255	f3cf3e
GoldOut	78	40	3	255	4e2803
JadeiteOut	17	78	3	255	114e03
IronOut	75	72	79	255	4b484f
BronzeOut	72	79	73	255	484f49
IronHonor	115	110	127	255	736e7f
BronzeHonor	57	180	135	255	39b487
SliverHonor	173	175	175	255	adafaf
GoldHonor	245	174	21	255	f5ae15
JadeiteHonor	0	178	64	255	00B240
IronMid	233	244	245	255	e9f4f5
