UIName	nSortingOrder	isAffectedBySystemBack	enablePreload
UILowEffect	-2	0	0
UILoginBG	-1	0	0
BubbleText	0	0	0
UIChooseRole	0	0	0
UIEmptyMsgBoard	0	0	0
UIFactionBattleReport	0	0	0
UIFactionMonkeyPanel	0	0	0
UIFlyText	0	0	0
UIHeroTowerDetail	0	0	0
UIHud	0	0	0
UIHudChat	0	0	0
UIHudLeftFrameExt	0	0	0
UIHudMinimap	0	0	0
UIHudRightBottom	0	0	0
UIHudRightCenter	0	0	0
UIHudRightSkill	0	0	0
UIHudRightTopWelfare	0	0	0
UISelectRoleExist	0	0	0
UICreateRole	0	0	0
UIStaticCenterMsg	0	0	0
UIQuickItem	0	0	0
UIJoyStick	1	0	0
UIRollPanel	3	0	0
UICommonDeathPopup	2	0	0
UISavePower	20010	0	0
UIOnlineHook	5	0	0
UIMultiPvPBattleInfo	9	0	0
UILoginChannelInner	10	0	0
UILoginChannelSDK	10	0	0
UILoginServer	10	0	0
UISelectServer	11	1	0
UISelectZone	11	0	0
UINpcDialog	12	1	0
UIGuide	20	0	0
UIComboKillCount	0	0	0
UIChatRoom	0	0	0
UIMapLoading	15000	0	0
UITopEffect	10000	0	0
UILoadingTips	20000	0	0
UICenterMsg	20001	0	0
UIGMICON	20000	0	0
UINpcDialogBubble	12	1	0
UIBloodBarBossTop	1	0	0
UIAgreement	20001	0	0
UIAgreementNew	20001	0	0
