nVipLevel	nTotalExp	szVipName	szTimeFrame	nGiftShowPrice	nGiftRealPrice	nGiftItemId	bIsGivePioneerGB	nPioneerGBGiftId	nPioneerGBCount	nPioneerGBDurationTime	nPioneerGBDaySubNum	nBaiGuoLuNum	nFriendNum	nPublicChatNum	nPublicChatCD	nApprenticeLevelMinus	nChuanGongNum	nChuanGongLevelMinus	nChuanGongCD	nKinDonateNum	nKinDonateContributeInc	nKinGiftNum	nAddImity	nExtArenaNum	nFreightAssistNum	nFreightSeekHelpCount	nCanRefreshMarketStall	nMoneyTreeBonus	nCanUseSpecialBaiJuWan	nOnHookBonus	nXiuLianDanMaxNum	nChangeFactionCD	nSendWaiZhuang
0	0	<i18n=7431>	OpenLevel39	200	8	1078	0	0	0	0	0	0	0	0	0	0	0	3	1800	0	0	0	0	0	0	0	0	0	0	0	0	5	0
1	10000	<i18n=5033>	OpenLevel39	400	18	1078	0	0	0	0	0	0	0	10	0	0	0	3	1800	10	0	0	0	0	0	0	0	0	0	0	0	5	0
2	100000	<i18n=3176>	OpenLevel39	600	38	1078	0	0	0	0	0	0	0	10	0	0	0	3	1800	10	0	0	0	1	10	0	0	0	0	0	0	5	0
3	200000	<i18n=6689>	OpenLevel39	1100	68	1078	0	0	0	0	0	0	0	10	0	0	0	3	1800	20	0	0	0	1	10	0	0	0	0	0	0	5	0
4	500000	<i18n=102>	OpenLevel39	1200	88	1078	0	0	0	0	0	0	50	10	0	0	0	3	1800	20	0	0	0	1	10	0	1	0	0	0	0	5	0
5	1000000	<i18n=7457>	OpenLevel39	1800	138	1078	0	0	0	0	0	2	50	10	0	0	0	3	1800	30	0	0	0	1	10	1	1	0	0	0	0	5	0
6	2000000	<i18n=15898>	OpenLevel39	2400	188	1078	1	31075	200	1209600	14	2	75	10	15	1	0	2	1800	30	0	0	0	2	10	1	1	0	1	0	0	5	0
7	3000000	<i18n=14487>	OpenLevel39	3000	238	1078	1	31076	150	1209600	10	2	75	10	15	1	0	2	1800	50	0	1	0	2	10	1	1	0	1	0	0	3	0
8	5000000	<i18n=7366>	OpenLevel39	4000	358	1078	1	31077	150	1814400	7	2	100	10	15	1	1	2	1800	50	0	1	0	2	10	1	1	0	1	10	0	3	0
9	10000000	<i18n=10657>	OpenLevel39	5000	488	1078	1	31078	100	2592000	3	2	100	10	15	1	1	2	1800	70	0	1	0	2	10	1	1	0	1	10	0	3	0
10	20000000	<i18n=9043>	OpenLevel39	6000	638	1078	1	31079	100	2592000	3	2	100	10	15	1	1	2	1800	70	0	1	0	3	10	1	1	20	1	10	0	1	1
11	30000000	<i18n=13945>	OpenLevel39	8000	858	1078	1	31080	50	3888000	1	2	100	10	15	1	1	2	1800	90	0	1	20	3	10	1	1	20	1	10	0	1	1
12	50000000	<i18n=7102>	OpenLevel39	10000	1088	1078	1	31081	50	3888000	1	2	125	10	15	1	1	2	1800	140	0	1	20	3	10	1	1	20	1	20	0	1	1
13	100000000	<i18n=1265>	OpenLevel39	12500	1588	1078	1	31082	50	3888000	1	2	125	10	15	1	1	2	1800	190	0	1	20	4	10	1	1	20	1	20	0	1	1
14	200000000	<i18n=7736>	OpenLevel39	15000	2088	1078	1	31083	50	3888000	1	2	125	10	15	1	1	2	1800	290	20	1	20	4	10	1	1	20	1	20	1	1	1
15	300000000	<i18n=1921>	OpenLevel59	17500	2588	1078	0	0	0	0	0	2	150	10	15	1	1	1	1800	390	20	1	20	4	10	1	1	20	1	20	1	1	1
16	400000000	<i18n=7016>	OpenLevel59	20000	3288	1078	0	0	0	0	0	2	150	10	15	1	2	1	1800	490	20	1	20	4	10	1	1	20	1	30	1	1	1
17	530000000	<i18n=273>	OpenLevel79	24000	4388	1078	0	0	0	0	0	2	150	10	15	1	2	1	0	740	20	1	20	4	10	1	1	20	1	30	1	1	1
18	660000000	<i18n=6584>	OpenLevel79	30000	5888	1078	0	0	0	0	0	2	150	10	15	1	2	1	0	990	20	1	20	4	10	1	1	20	1	30	1	1	1
