nLinkKey	szTimeFrameStart	szTimeFrameEnd	nAwardKey
1	OpenLevel1		1
2	OpenLevel1	OpenLevel119	3
2	OpenLevel119		28
3	OpenLevel1		5
4	OpenLevel1		7
5	OpenLevel1		9
6	OpenLevel1	OpenLevel109	11
6	OpenLevel109		27
7	OpenLevel1		13
7	OpenLevel49	OpenLevel69	17
7	OpenLevel69	OpenLevel79	18
7	OpenLevel79	OpenLevel99	19
7	OpenLevel99	OpenLevel119	20
7	OpenLevel119	OpenLevel129	26
7	OpenLevel129	OpenLevel159	23
7	OpenLevel159	OpenLevel189	24
7	OpenLevel189	OpenLevel219	25
7	OpenLevel219	OpenLevel249	30
7	OpenLevel249	OpenLevel279	31
7	OpenLevel279		32
8	OpenLevel1		15
9	OpenLevel1		2
10	OpenLevel1		4
11	OpenLevel1		6
12	OpenLevel1		8
13	OpenLevel1		10
14	OpenLevel1	OpenLevel109	12
14	OpenLevel109		29
15	OpenLevel1		14
16	OpenLevel1		16
21	OpenLevel1		21
22	OpenLevel1		22
