nIdx	szPanelType	szName
1	PANEL_TYPE_LIMITTIME_LEVELUP	<i18n=971>
2	PANEL_TYPE_7DAY_SIGN_IN_AWARD	<i18n=14920>
3	PANEL_TYPE_SIGNIN_EVERYDAY	<i18n=2911>
4	PANEL_TYPE_RETURN_AWARD	<i18n=24507>
5	PANEL_TYPE_ONLINE_AWARD	<i18n=5515>
6	PANEL_TYPE_YUANBAO_RETURN	<i18n=8562>
7	PANEL_TYPE_CHEAP_MONTH_GIFT	<i18n=17899>
8	PANEL_TYPE_WEEK_MONTH_CARD	<i18n=17496>
9	PANEL_TYPE_DAILY_GIFT	<i18n=7161>
10	PANEL_TYPE_GROWTH_FUND	<i18n=10431>
11	PANEL_TYPE_MONEY_TREE	<i18n=7714>
12	PANEL_TYPE_ON_HOOK	<i18n=17493>
13	PANEL_TYPE_SUPPLEMENT	<i18n=13154>
14	PANEL_TYPE_TREASURE_CASE	<i18n=11842>
