PosID	MapID	MapName	Pos	TrapIndex
1	25	<i18n=4805>	26306,111268,0	1
2	25	<i18n=4805>	25756,78325,0	2
3	25	<i18n=4805>	35942,47699,0	3
4	25	<i18n=4805>	56081,95465,0	4
5	25	<i18n=4805>	82634,121215,0	5
6	25	<i18n=4805>	72961,58174,0	6
7	26	<i18n=5317>	37162,83015,0	1
8	26	<i18n=5317>	34510,47704,0	2
9	26	<i18n=5317>	62326,36771,0	3
10	26	<i18n=5317>	66606,120128,0	4
11	26	<i18n=5317>	84228,97852,0	5
12	26	<i18n=5317>	103253,50261,0	6
13	27	<i18n=6833>	38639,117322,0	1
14	27	<i18n=6833>	50888,148509,0	2
15	27	<i18n=6833>	87916,127653,0	3
16	27	<i18n=6833>	96932,86052,0	4
17	27	<i18n=6833>	72301,45056,0	5
18	27	<i18n=6833>	38126,61658,0	6
19	28	<i18n=8951>	28724,22916,0	1
20	28	<i18n=8951>	30796,85822,0	2
21	28	<i18n=8951>	63502,18786,0	3
22	28	<i18n=8951>	55720,100148,0	4
23	28	<i18n=8951>	90168,66502,0	5
24	28	<i18n=8951>	87999,35548,0	6
25	29	<i18n=8308>	20699,86221,0	1
26	29	<i18n=8308>	36734,49741,0	2
27	29	<i18n=8308>	54587,107704,0	3
28	29	<i18n=8308>	85160,99673,0	4
29	29	<i18n=8308>	109262,53002,0	5
30	29	<i18n=8308>	74558,37121,0	6
31	30	<i18n=7257>	32946,115103,0	1
32	30	<i18n=7257>	34383,62102,0	2
33	30	<i18n=7257>	63490,32409,0	3
34	30	<i18n=7257>	57707,125386,0	4
35	30	<i18n=7257>	95001,98647,0	5
36	30	<i18n=7257>	99716,48493,0	6
37	7	<i18n=10025>	51139,128107,0	1
38	7	<i18n=10025>	47980,83051,0	2
39	7	<i18n=10025>	73381,138794,0	3
40	7	<i18n=10025>	97372,109669,0	4
41	7	<i18n=10025>	103204,74592,0	5
42	7	<i18n=10025>	87379,38115,0	6
43	32	<i18n=4789>	51130,121929,0	1
44	32	<i18n=4789>	41307,93717,0	2
45	32	<i18n=4789>	63937,73226,0	3
46	32	<i18n=4789>	92490,51975,0	4
47	32	<i18n=4789>	112614,102992,0	5
48	32	<i18n=4789>	88885,132891,0	6
49	33	<i18n=10197>	44022,95066,0	1
50	33	<i18n=10197>	58890,136344,0	2
51	33	<i18n=10197>	92860,142342,0	3
52	33	<i18n=10197>	126198,107099,0	4
53	33	<i18n=10197>	121573,64036,0	5
54	33	<i18n=10197>	68120,36449,0	6
55	34	<i18n=9195>	30426,79886,0	1
56	34	<i18n=9195>	33666,101964,0	2
57	34	<i18n=9195>	55670,132605,0	3
58	34	<i18n=9195>	77116,127021,0	4
59	34	<i18n=9195>	94383,86317,0	5
60	34	<i18n=9195>	83659,55525,0	6
61	35	<i18n=10185>	45849,87506,0	1
62	35	<i18n=10185>	70294,93290,0	2
63	35	<i18n=10185>	45015,37048,0	3
64	35	<i18n=10185>	96929,29799,0	4
65	35	<i18n=10185>	98617,85489,0	5
66	35	<i18n=10185>	67608,40299,0	6
67	36	<i18n=13514>	39677,115253,0	1
68	36	<i18n=13514>	51847,74703,0	2
69	36	<i18n=13514>	71432,42496,0	3
70	36	<i18n=13514>	100527,72211,0	4
71	36	<i18n=13514>	98876,115036,0	5
72	36	<i18n=13514>	76697,139091,0	6
73	37	<i18n=6428>	44518,103981,0	1
74	37	<i18n=6428>	43658,67562,0	2
75	37	<i18n=6428>	65450,54544,0	3
76	37	<i18n=6428>	78322,121993,0	4
77	37	<i18n=6428>	92309,83154,0	5
78	37	<i18n=6428>	59413,139518,0	6
79	38	<i18n=1671>	36716,84348,0	1
80	38	<i18n=1671>	61031,122389,0	2
81	38	<i18n=1671>	38837,44567,0	3
82	38	<i18n=1671>	72708,35665,0	4
83	38	<i18n=1671>	104036,58759,0	5
84	38	<i18n=1671>	86746,98419,0	6
85	39	<i18n=7643>	33608,90944,0	1
86	39	<i18n=7643>	48888,65167,0	2
87	39	<i18n=7643>	74464,41656,0	3
88	39	<i18n=7643>	90289,73166,0	4
89	39	<i18n=7643>	93043,103449,0	5
90	39	<i18n=7643>	65695,93172,0	6
