nActivityId	nGrade	nOnceTriggerItem	nTriggerValue	szDesc	nSaveId
1	1	1	25	<i18n=31919>	55
1	2	1	22	<i18n=31920>	56
1	3	1	20	<i18n=26107>	13
1	4	1	10	<i18n=26084>	14
1	5	1	5	<i18n=26113>	15
1	6	2	3	<i18n=26116>	58
1	1	3	40	<i18n=26102>	19
1	2	3	30	<i18n=36202>	59
1	3	3	25	<i18n=36205>	60
1	4	3	15	<i18n=50725>	61
1	5	3	10	<i18n=26081>	21
1	6	3	5	<i18n=36201>	62
2	1	4	200	<i18n=26111>	24
2	2	4	100	<i18n=26094>	25
2	3	4	50	<i18n=25639>	26
2	4	4	30	<i18n=26100>	27
2	5	4	10	<i18n=26084>	28
2	6	4	5	<i18n=26113>	63
3	1	5	50	<i18n=25639>	30
3	2	5	16	<i18n=25638>	31
3	3	5	8	<i18n=25656>	32
3	4	5	4	<i18n=25671>	33
3	5	5	1	<i18n=25414>	34
3	5	6	8	<i18n=26105>	36
3	6	6	4	<i18n=26108>	37
4	1	7	1	<i18n=52990>	39
4	2	7	2	<i18n=26240>	40
4	3	7	3	<i18n=26237>	41
4	4	7	3	<i18n=26237>	41
5	1	8	1	<i18n=25466>	42
5	2	8	2	<i18n=25452>	43
5	3	8	3	<i18n=25484>	44
5	5	8	4	<i18n=25462>	45
