nActivityId	nGrade	nRecordTimesTriggerItem	nTriggerTimes	szDesc
1	1	1	10	<i18n=47923>
1	2	1	12	<i18n=25422>
1	3	1	14	<i18n=47947>
1	4	1	16	<i18n=26112>
1	5	1	16	<i18n=26112>
1	6	1	18	<i18n=47930>
2	1	2	10	<i18n=47923>
2	2	2	10	<i18n=47923>
2	3	2	15	<i18n=47931>
2	4	2	15	<i18n=47931>
2	5	2	20	<i18n=47945>
2	6	2	20	<i18n=47945>
3	1	3	1	<i18n=47925>
3	2	3	1	<i18n=47925>
3	3	3	2	<i18n=26091>
3	4	3	2	<i18n=26091>
3	5	3	2	<i18n=26091>
3	6	3	2	<i18n=26091>
3	6	8	2	<i18n=34730>
4	1	4	2	<i18n=26091>
4	2	4	2	<i18n=26091>
4	3	4	2	<i18n=26091>
4	4	4	3	<i18n=25411>
4	5	4	3	<i18n=25411>
4	6	4	3	<i18n=25411>
4	5	9	1	<i18n=26082>
4	6	9	1	<i18n=26082>
4	6	10	1	<i18n=26117>
5	1	5	1	<i18n=47925>
5	2	5	1	<i18n=47925>
5	3	5	1	<i18n=47925>
5	4	5	2	<i18n=26091>
5	5	5	2	<i18n=26091>
5	6	5	2	<i18n=26091>
5	4	11	2	<i18n=40459>
5	6	12	2	<i18n=40429>
6	1	6	2	<i18n=47936>
6	2	6	2	<i18n=47936>
6	3	6	4	<i18n=47946>
6	4	6	4	<i18n=47946>
6	5	6	8	<i18n=47926>
6	6	6	8	<i18n=47926>
6	1	64	1	<i18n=52729>
6	2	64	3	<i18n=52728>
6	3	64	6	<i18n=52727>
6	4	64	12	<i18n=52731>
6	5	64	15	<i18n=52726>
6	6	64	18	<i18n=52725>
