nGroupId	nAttrId	nAttrValueMin1	nAttrValueMin2	nAttrValueMin3	nAttrValueMax1	nAttrValueMax2	nAttrValueMax3	FightPower	nWeight
1101	56	3			3			1000	60000
1101	39	12			14			1000	80000
1101	38	12			14			1000	80000
1101	11	12		12	14		14	1000	100000
1101	25	256			288			1000	100000
1101	42	12			14			1000	100000
1101	27	64			72			1000	120000
1101	16	1000	12		1000	14		1000	120000
1101	45	12			14			1000	120000
1101	44	51			57			1000	120000
1102	56	3			4			1000	60000
1102	39	15			17			1000	80000
1102	38	15			17			1000	80000
1102	11	15		15	17		17	1000	100000
1102	25	304			342			1000	100000
1102	42	15			17			1000	100000
1102	27	76			85			1000	120000
1102	16	1000	15		1000	17		1000	120000
1102	45	15			17			1000	120000
1102	44	60			68			1000	120000
1103	56	4			5			1000	60000
1103	39	18			20			1000	80000
1103	38	18			20			1000	80000
1103	11	18		18	20		20	1000	100000
1103	25	368			414			1000	100000
1103	42	18			20			1000	100000
1103	27	92			103			1000	120000
1103	16	1000	18		1000	20		1000	120000
1103	45	18			20			1000	120000
1103	44	73			82			1000	120000
1104	56	5			6			1000	60000
1104	39	21			24			1000	80000
1104	38	21			24			1000	80000
1104	11	21		21	24		24	1000	100000
1104	25	432			486			1000	100000
1104	42	21			24			1000	100000
1104	27	108			121			1000	120000
1104	16	1000	21		1000	24		1000	120000
1104	45	21			24			1000	120000
1104	44	86			97			1000	120000
1105	56	6			7			1000	60000
1105	39	26			29			1000	80000
1105	38	26			29			1000	80000
1105	11	26		26	29		29	1000	100000
1105	25	528			594			1000	100000
1105	42	26			29			1000	100000
1105	27	132			148			1000	120000
1105	16	1000	26		1000	29		1000	120000
1105	45	26			29			1000	120000
1105	44	105			118			1000	120000
1106	56	7			8			1000	60000
1106	39	31			35			1000	80000
1106	38	31			35			1000	80000
1106	11	31		31	35		35	1000	100000
1106	25	624			702			1000	100000
1106	42	31			35			1000	100000
1106	27	156			175			1000	120000
1106	16	1000	31		1000	35		1000	120000
1106	45	31			35			1000	120000
1106	44	124			140			1000	120000
1107	56	9			10			1000	60000
1107	39	37			42			1000	80000
1107	38	37			42			1000	80000
1107	11	37		37	42		42	1000	100000
1107	25	752			846			1000	100000
1107	42	37			42			1000	100000
1107	27	188			211			1000	120000
1107	16	1000	37		1000	42		1000	120000
1107	45	37			42			1000	120000
1107	44	150			169			1000	120000
1108	56	11			12			1000	60000
1108	39	44			49			1000	80000
1108	38	44			49			1000	80000
1108	11	44		44	49		49	1000	100000
1108	25	880			990			1000	100000
1108	42	44			49			1000	100000
1108	27	220			247			1000	120000
1108	16	1000	44		1000	49		1000	120000
1108	45	44			49			1000	120000
1108	44	176			198			1000	120000
1109	56	13			14			1000	60000
1109	39	52			58			1000	80000
1109	38	52			58			1000	80000
1109	11	52		52	58		58	1000	100000
1109	25	1040			1170			1000	100000
1109	42	52			58			1000	100000
1109	27	260			292			1000	120000
1109	16	1000	52		1000	58		1000	120000
1109	45	52			58			1000	120000
1109	44	208			234			1000	120000
1110	56	15			16			1000	60000
1110	39	60			67			1000	80000
1110	38	60			67			1000	80000
1110	11	60		60	67		67	1000	100000
1110	25	1200			1350			1000	100000
1110	42	60			67			1000	100000
1110	27	300			337			1000	120000
1110	16	1000	60		1000	67		1000	120000
1110	45	60			67			1000	120000
1110	44	240			270			1000	120000
1111	56	17			19			1000	60000
1111	39	68			77			1000	80000
1111	38	68			77			1000	80000
1111	11	68		68	77		77	1000	100000
1111	25	1376			1548			1000	100000
1111	42	68			77			1000	100000
1111	27	344			387			1000	120000
1111	16	1000	68		1000	77		1000	120000
1111	45	68			77			1000	120000
1111	44	275			309			1000	120000
1112	56	19			22			1000	60000
1112	39	79			89			1000	80000
1112	38	79			89			1000	80000
1112	11	79		79	89		89	1000	100000
1112	25	1584			1782			1000	100000
1112	42	79			89			1000	100000
1112	27	396			445			1000	120000
1112	16	1000	79		1000	89		1000	120000
1112	45	79			89			1000	120000
1112	44	316			356			1000	120000
1113	56	22			25			1000	60000
1113	39	90			101			1000	80000
1113	38	90			101			1000	80000
1113	11	90		90	101		101	1000	100000
1113	25	1808			2034			1000	100000
1113	42	90			101			1000	100000
1113	27	452			508			1000	120000
1113	16	1000	90		1000	101		1000	120000
1113	45	90			101			1000	120000
1113	44	361			406			1000	120000
1114	56	25			28			1000	60000
1114	39	102			115			1000	80000
1114	38	102			115			1000	80000
1114	11	102		102	115		115	1000	100000
1114	25	2048			2304			1000	100000
1114	42	102			115			1000	100000
1114	27	512			576			1000	120000
1114	16	1000	102		1000	115		1000	120000
1114	45	102			115			1000	120000
1114	44	409			460			1000	120000
1115	56	29			32			1000	60000
1115	39	116			130			1000	80000
1115	38	116			130			1000	80000
1115	11	116		116	130		130	1000	100000
1115	25	2320			2610			1000	100000
1115	42	116			130			1000	100000
1115	27	580			652			1000	120000
1115	16	1000	116		1000	130		1000	120000
1115	45	116			130			1000	120000
1115	44	464			522			1000	120000
1116	56	32			36			1000	60000
1116	39	130			146			1000	80000
1116	38	130			146			1000	80000
1116	11	130		130	146		146	1000	100000
1116	25	2608			2934			1000	100000
1116	42	130			146			1000	100000
1116	27	652			733			1000	120000
1116	16	1000	130		1000	146		1000	120000
1116	45	130			146			1000	120000
1116	44	521			586			1000	120000
1117	56	37			41			1000	60000
1117	39	148			166			1000	80000
1117	38	148			166			1000	80000
1117	11	148		148	166		166	1000	100000
1117	25	2960			3330			1000	100000
1117	42	148			166			1000	100000
1117	27	740			832			1000	120000
1117	16	1000	148		1000	166		1000	120000
1117	45	148			166			1000	120000
1117	44	592			666			1000	120000
1118	56	41			47			1000	60000
1118	39	167			188			1000	80000
1118	38	167			188			1000	80000
1118	11	167		167	188		188	1000	100000
1118	25	3344			3762			1000	100000
1118	42	167			188			1000	100000
1118	27	836			940			1000	120000
1118	16	1000	167		1000	188		1000	120000
1118	45	167			188			1000	120000
1118	44	668			752			1000	120000
1119	56	47			53			1000	60000
1119	39	188			212			1000	80000
1119	38	188			212			1000	80000
1119	11	188		188	212		212	1000	100000
1119	25	3776			4248			1000	100000
1119	42	188			212			1000	100000
1119	27	944			1062			1000	120000
1119	16	1000	188		1000	212		1000	120000
1119	45	188			212			1000	120000
1119	44	755			849			1000	120000
1120	56	53			60			1000	60000
1120	39	213			240			1000	80000
1120	38	213			240			1000	80000
1120	11	213		213	240		240	1000	100000
1120	25	4272			4806			1000	100000
1120	42	213			240			1000	100000
1120	27	1068			1201			1000	120000
1120	16	1000	213		1000	240		1000	120000
1120	45	213			240			1000	120000
1120	44	854			961			1000	120000
1201	56	3			4			1000	60000
1201	39	14			16			1000	80000
1201	38	14			16			1000	80000
1201	11	14		14	16		16	1000	100000
1201	25	288			320			1000	100000
1201	42	14			16			1000	100000
1201	27	72			80			1000	120000
1201	16	1000	14		1000	16		1000	120000
1201	45	14			16			1000	120000
1201	44	57			64			1000	120000
1202	56	4			4			1000	60000
1202	39	17			19			1000	80000
1202	38	17			19			1000	80000
1202	11	17		17	19		19	1000	100000
1202	25	342			380			1000	100000
1202	42	17			19			1000	100000
1202	27	85			95			1000	120000
1202	16	1000	17		1000	19		1000	120000
1202	45	17			19			1000	120000
1202	44	68			76			1000	120000
1203	56	5			5			1000	60000
1203	39	20			23			1000	80000
1203	38	20			23			1000	80000
1203	11	20		20	23		23	1000	100000
1203	25	414			460			1000	100000
1203	42	20			23			1000	100000
1203	27	103			115			1000	120000
1203	16	1000	20		1000	23		1000	120000
1203	45	20			23			1000	120000
1203	44	82			92			1000	120000
1204	56	6			6			1000	60000
1204	39	24			27			1000	80000
1204	38	24			27			1000	80000
1204	11	24		24	27		27	1000	100000
1204	25	486			540			1000	100000
1204	42	24			27			1000	100000
1204	27	121			135			1000	120000
1204	16	1000	24		1000	27		1000	120000
1204	45	24			27			1000	120000
1204	44	97			108			1000	120000
1205	56	7			8			1000	60000
1205	39	29			33			1000	80000
1205	38	29			33			1000	80000
1205	11	29		29	33		33	1000	100000
1205	25	594			660			1000	100000
1205	42	29			33			1000	100000
1205	27	148			165			1000	120000
1205	16	1000	29		1000	33		1000	120000
1205	45	29			33			1000	120000
1205	44	118			132			1000	120000
1206	56	8			9			1000	60000
1206	39	35			39			1000	80000
1206	38	35			39			1000	80000
1206	11	35		35	39		39	1000	100000
1206	25	702			780			1000	100000
1206	42	35			39			1000	100000
1206	27	175			195			1000	120000
1206	16	1000	35		1000	39		1000	120000
1206	45	35			39			1000	120000
1206	44	140			156			1000	120000
1207	56	10			11			1000	60000
1207	39	42			47			1000	80000
1207	38	42			47			1000	80000
1207	11	42		42	47		47	1000	100000
1207	25	846			940			1000	100000
1207	42	42			47			1000	100000
1207	27	211			235			1000	120000
1207	16	1000	42		1000	47		1000	120000
1207	45	42			47			1000	120000
1207	44	169			188			1000	120000
1208	56	12			13			1000	60000
1208	39	49			55			1000	80000
1208	38	49			55			1000	80000
1208	11	49		49	55		55	1000	100000
1208	25	990			1100			1000	100000
1208	42	49			55			1000	100000
1208	27	247			275			1000	120000
1208	16	1000	49		1000	55		1000	120000
1208	45	49			55			1000	120000
1208	44	198			220			1000	120000
1209	56	14			16			1000	60000
1209	39	58			65			1000	80000
1209	38	58			65			1000	80000
1209	11	58		58	65		65	1000	100000
1209	25	1170			1300			1000	100000
1209	42	58			65			1000	100000
1209	27	292			325			1000	120000
1209	16	1000	58		1000	65		1000	120000
1209	45	58			65			1000	120000
1209	44	234			260			1000	120000
1210	56	16			18			1000	60000
1210	39	67			75			1000	80000
1210	38	67			75			1000	80000
1210	11	67		67	75		75	1000	100000
1210	25	1350			1500			1000	100000
1210	42	67			75			1000	100000
1210	27	337			375			1000	120000
1210	16	1000	67		1000	75		1000	120000
1210	45	67			75			1000	120000
1210	44	270			300			1000	120000
1211	56	19			21			1000	60000
1211	39	77			86			1000	80000
1211	38	77			86			1000	80000
1211	11	77		77	86		86	1000	100000
1211	25	1548			1720			1000	100000
1211	42	77			86			1000	100000
1211	27	387			430			1000	120000
1211	16	1000	77		1000	86		1000	120000
1211	45	77			86			1000	120000
1211	44	309			344			1000	120000
1212	56	22			24			1000	60000
1212	39	89			99			1000	80000
1212	38	89			99			1000	80000
1212	11	89		89	99		99	1000	100000
1212	25	1782			1980			1000	100000
1212	42	89			99			1000	100000
1212	27	445			495			1000	120000
1212	16	1000	89		1000	99		1000	120000
1212	45	89			99			1000	120000
1212	44	356			396			1000	120000
1213	56	25			28			1000	60000
1213	39	101			113			1000	80000
1213	38	101			113			1000	80000
1213	11	101		101	113		113	1000	100000
1213	25	2034			2260			1000	100000
1213	42	101			113			1000	100000
1213	27	508			565			1000	120000
1213	16	1000	101		1000	113		1000	120000
1213	45	101			113			1000	120000
1213	44	406			452			1000	120000
1214	56	28			32			1000	60000
1214	39	115			128			1000	80000
1214	38	115			128			1000	80000
1214	11	115		115	128		128	1000	100000
1214	25	2304			2560			1000	100000
1214	42	115			128			1000	100000
1214	27	576			640			1000	120000
1214	16	1000	115		1000	128		1000	120000
1214	45	115			128			1000	120000
1214	44	460			512			1000	120000
1215	56	32			36			1000	60000
1215	39	130			145			1000	80000
1215	38	130			145			1000	80000
1215	11	130		130	145		145	1000	100000
1215	25	2610			2900			1000	100000
1215	42	130			145			1000	100000
1215	27	652			725			1000	120000
1215	16	1000	130		1000	145		1000	120000
1215	45	130			145			1000	120000
1215	44	522			580			1000	120000
1216	56	36			40			1000	60000
1216	39	146			163			1000	80000
1216	38	146			163			1000	80000
1216	11	146		146	163		163	1000	100000
1216	25	2934			3260			1000	100000
1216	42	146			163			1000	100000
1216	27	733			815			1000	120000
1216	16	1000	146		1000	163		1000	120000
1216	45	146			163			1000	120000
1216	44	586			652			1000	120000
1217	56	41			46			1000	60000
1217	39	166			185			1000	80000
1217	38	166			185			1000	80000
1217	11	166		166	185		185	1000	100000
1217	25	3330			3700			1000	100000
1217	42	166			185			1000	100000
1217	27	832			925			1000	120000
1217	16	1000	166		1000	185		1000	120000
1217	45	166			185			1000	120000
1217	44	666			740			1000	120000
1218	56	47			52			1000	60000
1218	39	188			209			1000	80000
1218	38	188			209			1000	80000
1218	11	188		188	209		209	1000	100000
1218	25	3762			4180			1000	100000
1218	42	188			209			1000	100000
1218	27	940			1045			1000	120000
1218	16	1000	188		1000	209		1000	120000
1218	45	188			209			1000	120000
1218	44	752			836			1000	120000
1219	56	53			59			1000	60000
1219	39	212			236			1000	80000
1219	38	212			236			1000	80000
1219	11	212		212	236		236	1000	100000
1219	25	4248			4720			1000	100000
1219	42	212			236			1000	100000
1219	27	1062			1180			1000	120000
1219	16	1000	212		1000	236		1000	120000
1219	45	212			236			1000	120000
1219	44	849			944			1000	120000
1220	56	60			66			1000	60000
1220	39	240			267			1000	80000
1220	38	240			267			1000	80000
1220	11	240		240	267		267	1000	100000
1220	25	4806			5340			1000	100000
1220	42	240			267			1000	100000
1220	27	1201			1335			1000	120000
1220	16	1000	240		1000	267		1000	120000
1220	45	240			267			1000	120000
1220	44	961			1068			1000	120000
1301	56	4			4			1000	60000
1301	39	16			19			1000	80000
1301	38	16			19			1000	80000
1301	11	16		16	19		19	1000	100000
1301	25	320			384			1000	100000
1301	42	16			19			1000	100000
1301	27	80			96			1000	120000
1301	16	1000	16		1000	19		1000	120000
1301	45	16			19			1000	120000
1301	44	64			76			1000	120000
1302	56	4			5			1000	60000
1302	39	19			22			1000	80000
1302	38	19			22			1000	80000
1302	11	19		19	22		22	1000	100000
1302	25	380			456			1000	100000
1302	42	19			22			1000	100000
1302	27	95			114			1000	120000
1302	16	1000	19		1000	22		1000	120000
1302	45	19			22			1000	120000
1302	44	76			91			1000	120000
1303	56	5			6			1000	60000
1303	39	23			27			1000	80000
1303	38	23			27			1000	80000
1303	11	23		23	27		27	1000	100000
1303	25	460			552			1000	100000
1303	42	23			27			1000	100000
1303	27	115			138			1000	120000
1303	16	1000	23		1000	27		1000	120000
1303	45	23			27			1000	120000
1303	44	92			110			1000	120000
1304	56	6			8			1000	60000
1304	39	27			32			1000	80000
1304	38	27			32			1000	80000
1304	11	27		27	32		32	1000	100000
1304	25	540			648			1000	100000
1304	42	27			32			1000	100000
1304	27	135			162			1000	120000
