nId	szRoom	nRoomLevel	szClassName	nRate	nMapTemplateId	szRoomName	nFubenTime
1	1_1	1	KillMonster	100	200	<i18n=343>	180
2	1_2	1	KillMonster	100	201	<i18n=343>	180
3	1_3	1	KillMonster	100	202	<i18n=343>	180
4	2_1	2	KillMonster	100	210	<i18n=343>	180
5	2_2	2	KillMonster	100	211	<i18n=343>	180
6	2_3	2	KillMonster	100	212	<i18n=343>	180
7	3_1	3	FindWayOut	100	220	<i18n=343>	240
8	3_2	3	KillMonster	100	221	<i18n=343>	240
9	3_3	3	ProtectNpc	100	222	<i18n=343>	240
10	4_1	4	KillMonster	100	230	<i18n=343>	240
11	4_2	4	DefeatXXQ	100	231	<i18n=343>	240
12	4_3	4	KillMonster	101	232	<i18n=343>	240
13	5_1	5	Duel	100	240	<i18n=343>	300
14	5_2	5	Duel	100	241	<i18n=343>	300
15	5_3	5	KillMonster	101	242	<i18n=343>	300
16	1_4	1	KillMonster	100	203	<i18n=343>	180
17	2_4	2	EscortNpc	100	213	<i18n=343>	180
18	3_4	3	KillMonster	100	223	<i18n=343>	240
19	4_4	4	KillMonster2	100	233	<i18n=343>	240
20	5_4	5	EscortNpc2	100	243	<i18n=343>	300
