nId	nHole	nEnhanceLevel	nNeedExp	nMaterialsNum	nDoublePro	nDoubleAddPro	nFiveFoldPro	nFiveAddPro	nSilver	nStar	nAttrNum	szAttribType1	tbnAttribValue1	szAttribType2	tbnAttribValue2	FightPower
1	9	1	300	2	200000	100000	100000	50000	2000	0	2	allsect_metaldamage_v	9|0|0	lifemax_q	7.2|0|0	300
2	9	2	300	2	200000	100000	100000	50000	2000	0	2	allsect_metaldamage_v	18|0|0	lifemax_q	14.4|0|0	600
3	9	3	300	2	200000	100000	100000	50000	2000	0	2	allsect_metaldamage_v	27|0|0	lifemax_q	21.6|0|0	900
4	9	4	300	2	200000	100000	100000	50000	2000	0	2	allsect_metaldamage_v	36|0|0	lifemax_q	28.8|0|0	1200
5	9	5	300	2	200000	100000	100000	50000	2000	0	2	allsect_metaldamage_v	45|0|0	lifemax_q	36|0|0	1500
6	9	6	300	2	200000	100000	100000	50000	2000	0	2	allsect_metaldamage_v	54|0|0	lifemax_q	43.2|0|0	1800
7	9	7	300	2	200000	100000	100000	50000	2000	0	2	allsect_metaldamage_v	63|0|0	lifemax_q	50.4|0|0	2100
8	9	8	300	2	200000	100000	100000	50000	2000	0	2	allsect_metaldamage_v	72|0|0	lifemax_q	57.6|0|0	2400
9	9	9	300	2	200000	100000	100000	50000	2000	0	2	allsect_metaldamage_v	81|0|0	lifemax_q	64.8|0|0	2700
10	9	10	300	2	200000	100000	100000	50000	2000	1	2	allsect_metaldamage_v	113|0|0	lifemax_q	90|0|0	3000
11	9	11	400	3	200000	100000	100000	50000	3000	1	2	allsect_metaldamage_v	124|0|0	lifemax_q	99|0|0	3400
12	9	12	400	3	200000	100000	100000	50000	3000	1	2	allsect_metaldamage_v	135|0|0	lifemax_q	107.9|0|0	3800
13	9	13	400	3	200000	100000	100000	50000	3000	1	2	allsect_metaldamage_v	146|0|0	lifemax_q	116.9|0|0	4200
14	9	14	400	3	200000	100000	100000	50000	3000	1	2	allsect_metaldamage_v	157|0|0	lifemax_q	125.8|0|0	4600
15	9	15	400	3	200000	100000	100000	50000	3000	1	2	allsect_metaldamage_v	169|0|0	lifemax_q	134.8|0|0	5000
16	9	16	400	3	200000	100000	100000	50000	3000	1	2	allsect_metaldamage_v	180|0|0	lifemax_q	143.8|0|0	5400
17	9	17	400	3	200000	100000	100000	50000	3000	1	2	allsect_metaldamage_v	191|0|0	lifemax_q	152.7|0|0	5800
18	9	18	400	3	200000	100000	100000	50000	3000	1	2	allsect_metaldamage_v	202|0|0	lifemax_q	161.7|0|0	6200
19	9	19	400	3	200000	100000	100000	50000	3000	1	2	allsect_metaldamage_v	213|0|0	lifemax_q	170.6|0|0	6600
20	9	20	400	3	200000	100000	100000	50000	3000	2	2	allsect_metaldamage_v	253|0|0	lifemax_q	202|0|0	7000
21	9	21	400	3	200000	100000	100000	50000	3000	2	2	allsect_metaldamage_v	263|0|0	lifemax_q	210.3|0|0	7400
22	9	22	400	3	200000	100000	100000	50000	3000	2	2	allsect_metaldamage_v	273|0|0	lifemax_q	218.6|0|0	7800
23	9	23	400	3	200000	100000	100000	50000	3000	2	2	allsect_metaldamage_v	284|0|0	lifemax_q	227|0|0	8200
24	9	24	400	3	200000	100000	100000	50000	3000	2	2	allsect_metaldamage_v	294|0|0	lifemax_q	235.3|0|0	8600
25	9	25	400	3	200000	100000	100000	50000	3000	2	2	allsect_metaldamage_v	305|0|0	lifemax_q	243.6|0|0	9000
