nGroupId	nOrder	nIndex	szAttrType	nAttrValueMin1	nAttrValueMax1	nAttrValueMin2	nAttrValueMax2	nAttrValueMin3	nAttrValueMax3	nCompareIndex	nReference	tbnColorList	FightPower	nAttrTypeWeight
1	1	1	physical_metaldamage_v	44	65					1	65	60|80|100	1300	50
1	1	2	energy_metaldamage_v	44	65					1	65	60|80|100	1300	50
1	1	3	basic_damage_v	44	65			44	65	1	65	60|80|100	1300	50
1	1	4	deadlystrike_damage_v	44	65					1	65	60|80|100	1300	50
1	1	5	deadlystrike_v	44	65					1	65	60|80|100	1300	50
1	1	6	strength_v	44	65					1	65	60|80|100	1300	50
1	1	7	dexterity_v	44	65					1	65	60|80|100	1300	50
1	1	8	ignore_metal_resist_v	100	100	44	65			2	100	60|80|100	2000	100
1	1	9	ignore_defense_v	44	65					1	65	60|80|100	1300	50
1	1	10	rangedamage_return_v	172	258					1	258	60|80|100	1290	120
1	1	11	meleedamage_return_v	172	258					1	258	60|80|100	1290	120
1	1	12	attackrating_v	44	65					1	65	60|80|100	1300	120
1	1	13	lifemax_v	861	1292					1	1292	60|80|100	1292	100
1	1	14	manamax_v	861	1292					1	1292	60|80|100	1292	120
1	1	15	metal_resist_v	216	323					1	323	60|80|100	1292	100
1	1	16	stealmana_v	87	130					1	130	60|80|100	1300	120
1	1	17	steallife_v	87	130					1	130	60|80|100	1300	100
1	1	18	recover_life_v	44	65	9	9			1	65	60|80|100	1300	100
1	1	19	recover_mana_v	44	65	9	9			1	65	60|80|100	1300	120
1	1	20	lifereplenish_w	344	516					1	516	60|80|100	1290	100
1	1	21	manareplenish_w	344	516					1	516	60|80|100	1290	120
1	1	22	weaken_deadlystrike_damage_v	44	65					1	65	60|80|100	1300	100
1	1	23	weaken_deadlystrike_v	44	65					1	65	60|80|100	1300	100
1	1	24	defense_v	44	65					1	65	60|80|100	1300	100
1	1	25	vitality_v	44	65					1	65	60|80|100	1300	100
1	1	26	energy_v	44	65					1	65	60|80|100	1300	100
1	1	27	return_resist_range_v	172	258					1	258	60|80|100	1290	120
1	1	28	return_resist_melee_v	172	258					1	258	60|80|100	1290	120
1	2	1	physical_metaldamage_v	50	75					1	75	60|80|100	1500	50
1	2	2	energy_metaldamage_v	50	75					1	75	60|80|100	1500	50
1	2	3	basic_damage_v	50	75			50	75	1	75	60|80|100	1500	50
1	2	4	deadlystrike_damage_v	50	75					1	75	60|80|100	1500	50
1	2	5	deadlystrike_v	50	75					1	75	60|80|100	1500	50
1	2	6	strength_v	50	75					1	75	60|80|100	1500	50
1	2	7	dexterity_v	50	75					1	75	60|80|100	1500	50
1	2	8	ignore_metal_resist_v	100	100	50	75			2	100	60|80|100	2000	100
1	2	9	ignore_defense_v	50	75					1	75	60|80|100	1500	50
1	2	10	rangedamage_return_v	198	297					1	297	60|80|100	1485	120
