Level	ExpUpGrade	BaseAwardExp	RunSpeed	AttackSpeed	AttributePower	FightPower	DeadlyStrikeV	DeadlyStrikeDamageV	SeriesEnhanceV	BlockV	BlockDamageResistV	MaxLife	MaxMana	Miss	HitRate	MinBaseAttack	MaxBaseAttack	RecoverManaV
0	916000000	45000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	926000000	45000	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
2	936000000	45000	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
3	946000000	45000	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
4	956000000	45000	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
5	966000000	45000	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
6	976000000	45000	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0
7	986000000	45000	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0
8	996000000	45000	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0
9	1006000000	45000	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0
10	916000000	45000	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0
11	926000000	45000	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0
12	936000000	45000	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0
13	946000000	45000	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0
14	956000000	45000	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0
15	966000000	45000	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0
16	976000000	45000	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0
17	986000000	45000	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0
18	996000000	45000	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0
19	1006000000	45000	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0
20	916000000	45000	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0
21	926000000	45000	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0
22	936000000	45000	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0
23	946000000	45000	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0
24	956000000	45000	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0
25	966000000	45000	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0
26	976000000	45000	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0
27	986000000	45000	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0
28	996000000	45000	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0
29	1006000000	45000	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0
30	916000000	45000	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0
31	926000000	45000	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0
32	936000000	45000	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0
33	946000000	45000	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0
34	956000000	45000	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0
35	966000000	45000	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0
36	976000000	45000	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0
37	986000000	45000	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0
38	996000000	45000	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0
39	1006000000	45000	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0
40	916000000	45000	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0
41	926000000	45000	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0
42	936000000	45000	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0
43	946000000	45000	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0
44	956000000	45000	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0
45	966000000	45000	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0
46	976000000	45000	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0
47	986000000	45000	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0
48	996000000	45000	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0
49	1006000000	45000	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0
50	916000000	45000	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0
51	926000000	45000	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0
