Event	OpenDay	OpenTime	nLowerLimitLevel	NewMaxLevel	nLowerLimitZongShiLevel	NewMaxZongShiLevel	BeShow	Name
OpenLevel1	1	0						<i18n=19428>
OpenLevel25R	1	0						<i18n=17717>
OpenLevel39R	1	0						<i18n=17664>
OpenLevel39	1	0	1	39				<i18n=17687>
OpenDay2A	1	0						<i18n=17670>
OpenDay1A	1	1200						<i18n=19128>
OpenLevel49R	2	0						<i18n=17695>
OpenLevel49H	2	400						<i18n=17656>
OpenDay2B	2	400						<i18n=18702>
OpenLevel49C	2	400						<i18n=21596>
OpenLevel49B	3	400						<i18n=17643>
OpenLevel49	4	400	35	49				<i18n=17637>
OpenLevel49L	4	400						<i18n=17694>
OpenLevel49D	6	400						<i18n=21608>
OpenLevel49E	7	400						<i18n=17693>
OpenLevel59C	9	400						<i18n=21609>
OpenLevel59B	10	400						<i18n=17629>
OpenDay10B	10	2200						<i18n=18706>
OpenLevel59	11	400	50	59				<i18n=17663>
OpenDay14A	11	400						<i18n=17638>
OpenLevel59D	13	400						<i18n=21622>
OpenLevel59E	14	400						<i18n=17681>
OpenLevel59O	18	400						<i18n=18639>
OpenDay19A	19	400						<i18n=22515>
OpenDay21A	21	2200						<i18n=22513>
OpenLevel69C	23	400						<i18n=21623>
OpenDay24A	24	400						<i18n=22524>
OpenLevel69B	24	400						<i18n=17716>
OpenLevel69	25	400	60	69				<i18n=17715>
OpenLevel69D	27	400						<i18n=21632>
OpenLevel69E	28	400						<i18n=17660>
OpenLevel79C	44	400						<i18n=21575>
OpenLevel79B	45	400						<i18n=17649>
OpenLevel79	46	400	70	79				<i18n=17633>
OpenLevel55L	46	400						<i18n=17679>
OpenLevel79D	48	400						<i18n=22148>
OpenLevel79E	49	400						<i18n=17706>
OpenLevel89C	79	400						<i18n=21579>
OpenLevel89B	80	400						<i18n=17703>
OpenLevel89	81	400	80	89				<i18n=17665>
OpenDay90A	81	400						<i18n=17631>
OpenLevel89D	83	400						<i18n=21613>
OpenLevel89E	84	400						<i18n=17648>
OpenLevel99C	121	400						<i18n=22167>
OpenLevel99B	122	400						<i18n=17628>
OpenLevel99	123	400	90	99				<i18n=17652>
OpenLevel99D	125	400						<i18n=21604>
OpenLevel99E	126	400						<i18n=17677>
OpenLevel109C	177	400						<i18n=21569>
OpenLevel109B	178	400						<i18n=17653>
OpenLevel109	179	400	100	109				<i18n=17662>
OpenLevel200L	179	400						<i18n=17712>
OpenLevel109D	181	400						<i18n=21638>
OpenLevel109E	182	400						<i18n=17692>
OpenLevel119C	247	400						<i18n=22167>
OpenLevel119B	248	400						<i18n=17714>
OpenLevel119	249	400	110	119				<i18n=17674>
OpenLevel119D	251	400						<i18n=21589>
OpenLevel119E	252	400						<i18n=17644>
OpenLevel129C	310	400						<i18n=38015>
OpenLevel129B	311	400						<i18n=17639>
OpenLevel129	312	400	120	129				<i18n=17701>
OpenLevel129D	314	400						<i18n=38012>
OpenLevel129E	315	400						<i18n=17709>
OpenLevel139C	366	400						<i18n=38008>
OpenLevel139B	367	400						<i18n=17686>
OpenLevel139	368	400	130	139				<i18n=17676>
OpenLevel139D	370	400						<i18n=38020>
OpenLevel139E	371	400						<i18n=17678>
OpenLevel149C	422	400						<i18n=38018>
OpenLevel149B	423	400						<i18n=17675>
OpenLevel149	424	400	140	149				<i18n=17685>
OpenLevel149D	426	400						<i18n=38003>
OpenLevel149E	427	400						<i18n=17688>
OpenLevel159C	478	400						<i18n=38014>
OpenLevel159B	479	400						<i18n=17704>
OpenLevel159	480	400	150	159				<i18n=17690>
OpenLevel159D	482	400						<i18n=38011>
OpenLevel159E	483	400						<i18n=17661>
OpenLevel169C	534	400						<i18n=38017>
OpenLevel169B	535	400						<i18n=17657>
OpenLevel169	536	400	160	169				<i18n=17697>
OpenLevel169D	538	400						<i18n=38004>
OpenLevel169E	539	400						<i18n=17698>
OpenLevel179C	590	400						<i18n=38005>
OpenLevel179B	591	400						<i18n=17658>
OpenLevel179	592	400	170	179				<i18n=17671>
OpenLevel179D	594	400						<i18n=38019>
OpenLevel179E	595	400						<i18n=17696>
OpenLevel189C	646	400						<i18n=38010>
OpenLevel189B	647	400						<i18n=17650>
OpenLevel189	648	400	180	189				<i18n=17634>
OpenLevel189D	650	400						<i18n=38022>
OpenLevel189E	651	400						<i18n=17720>
OpenLevel199C	702	400						<i18n=38013>
OpenLevel199B	703	400						<i18n=17647>
OpenLevel199	704	400	190	199				<i18n=17641>
OpenLevel199D	706	400						<i18n=38021>
OpenLevel199E	707	400						<i18n=17718>
OpenLevel209C	758	400						<i18n=57288>
OpenLevel209B	759	400						<i18n=57261>
OpenLevel209	760	400	190	200	0	9		<i18n=57336>
OpenLevel209D	762	400						<i18n=57322>
OpenLevel209E	763	400						<i18n=57279>
OpenLevel219C	814	400						<i18n=57281>
OpenLevel219B	815	400						<i18n=57272>
OpenLevel219	816	400	190	200	10	19		<i18n=57367>
OpenLevel219D	818	400						<i18n=57342>
OpenLevel219E	819	400						<i18n=57311>
OpenLevel229C	870	400						<i18n=71871>
OpenLevel229B	871	400						<i18n=71874>
OpenLevel229	872	400	190	200	20	29		<i18n=71872>
OpenLevel229D	874	400						<i18n=71870>
OpenLevel229E	875	400						<i18n=71873>
OpenLevel239C	926	400						<i18n=71875>
OpenLevel239B	927	400						<i18n=71867>
OpenLevel239	928	400	190	200	30	39		<i18n=71869>
OpenLevel239D	930	400						<i18n=71866>
OpenLevel239E	931	400						<i18n=71868>
OpenLevel249C	982	400						<i18n=57359>
OpenLevel249B	983	400						<i18n=57307>
OpenLevel249	984	400	190	200	40	49		<i18n=57259>
OpenLevel249D	986	400						<i18n=57305>
OpenLevel249E	987	400						<i18n=57277>
OpenLevel259C	1038	400						<i18n=57262>
OpenLevel259B	1039	400						<i18n=57295>
OpenLevel259	1040	400	190	200	50	59		<i18n=57361>
OpenLevel259D	1042	400						<i18n=57321>
OpenLevel259E	1043	400						<i18n=57347>
OpenLevel269C	1094	400						<i18n=57267>
OpenLevel269B	1095	400						<i18n=57286>
OpenLevel269	1096	400	190	200	60	69		<i18n=57330>
OpenLevel269D	1098	400						<i18n=57324>
OpenLevel269E	1099	400						<i18n=57351>
OpenLevel279C	1150	400						<i18n=57308>
OpenLevel279B	1151	400						<i18n=57360>
OpenLevel279	1152	400	190	200	70	79		<i18n=57368>
OpenLevel279D	1154	400						<i18n=57363>
OpenLevel279E	1155	400						<i18n=57278>
OpenLevel289C	1206	400						<i18n=57253>
OpenLevel289B	1207	400						<i18n=57301>
OpenLevel289	1208	400	190	200	80	89		<i18n=57252>
OpenLevel289D	1210	400						<i18n=57312>
OpenLevel289E	1211	400						<i18n=57341>
OpenLevel299C	1262	400						<i18n=57354>
OpenLevel299B	1263	400						<i18n=57316>
OpenLevel299	1264	400	190	200	90	99		<i18n=57291>
OpenLevel299D	1266	400						<i18n=57298>
OpenLevel299E	1267	400						<i18n=57270>
OpenLevel309C	1318	400						<i18n=57294>
OpenLevel309B	1319	400						<i18n=57370>
OpenLevel309	1320	400	190	200	100	109		<i18n=57313>
OpenLevel309D	1322	400						<i18n=57365>
OpenLevel309E	1323	400						<i18n=57326>
OpenLevel319C	1374	400						<i18n=57289>
OpenLevel319B	1375	400						<i18n=57273>
OpenLevel319	1376	400	190	200	110	119		<i18n=57357>
OpenLevel319D	1378	400						<i18n=57271>
OpenLevel319E	1379	400						<i18n=57320>
OpenLevel329C	1430	400						<i18n=57346>
OpenLevel329B	1431	400						<i18n=57335>
OpenLevel329	1432	400	190	200	120	129		<i18n=57328>
OpenLevel329D	1434	400						<i18n=57333>
OpenLevel329E	1435	400						<i18n=57263>
OpenLevel339C	1486	400						<i18n=57297>
OpenLevel339B	1487	400						<i18n=57362>
OpenLevel339	1488	400	190	200	130	139		<i18n=57349>
OpenLevel339D	1490	400						<i18n=57364>
OpenLevel339E	1491	400						<i18n=57331>
OpenLevel349C	1542	400						<i18n=57329>
OpenLevel349B	1543	400						<i18n=57340>
OpenLevel349	1544	400	190	200	140	149		<i18n=57254>
OpenLevel349D	1546	400						<i18n=57338>
OpenLevel349E	1547	400						<i18n=57292>
OpenLevel359C	1598	400						<i18n=57283>
OpenLevel359B	1599	400						<i18n=57268>
OpenLevel359	1600	400	190	200	150	159		<i18n=57319>
OpenLevel359D	1602	400						<i18n=57265>
OpenLevel359E	1603	400						<i18n=57310>
OpenLevel369C	1654	400						<i18n=57327>
OpenLevel369B	1655	400						<i18n=57343>
OpenLevel369	1656	400	190	200	160	169		<i18n=57293>
OpenLevel369D	1658	400						<i18n=57339>
OpenLevel369E	1659	400						<i18n=57296>
OpenLevel379C	1710	400						<i18n=57356>
OpenLevel379B	1711	400						<i18n=57315>
OpenLevel379	1712	400	190	200	170	179		<i18n=57304>
OpenLevel379D	1714	400						<i18n=57318>
OpenLevel379E	1715	400						<i18n=57275>
OpenLevel389C	1766	400						<i18n=57266>
OpenLevel389B	1767	400						<i18n=57280>
OpenLevel389	1768	400	190	200	180	189		<i18n=57274>
OpenLevel389D	1770	400						<i18n=57282>
OpenLevel389E	1771	400						<i18n=57352>
OpenLevel399C	1822	400						<i18n=57257>
OpenLevel399B	1823	400						<i18n=57303>
OpenLevel399	1824	400	190	200	190	199		<i18n=57290>
OpenLevel399D	1826	400						<i18n=57302>
OpenLevel399E	1827	400						<i18n=57345>
